county_state,alc_any_2008,alc_heavy_2008,alc_binge_2008
"Greene, IL",51.0,9.5,21.3
"Grundy, IL",60.8,10.0,22.4
"Hamilton, IL",47.1,5.8,15.9
"Hancock, IL",49.4,11.8,22.1
"Hardin, IL",43.0,7.3,17.7
"Henderson, IL",53.4,10.6,22.6
"Henry, IL",58.9,8.7,20.4
"Iroquois, IL",53.3,7.5,18.6
"Jackson, IL",52.3,8.1,18.5
"Jasper, IL",55.8,9.5,21.7
"Jefferson, IL",44.6,6.2,15.6
"Jersey, IL",60.4,10.8,24.9
"Jo Daviess, IL",71.0,13.6,29.1
"Johnson, IL",41.5,6.8,15.3
"Kane, IL",66.9,8.1,20.7
"Kankakee, IL",57.9,8.6,20.4
"Kendall, IL",66.1,8.8,20.3
"Knox, IL",55.2,9.4,20.8
"Lake, IL",68.1,9.5,20.1
"LaSalle, IL",62.7,11.2,24.7
"Lawrence, IL",43.6,5.4,15.4
"Lee, IL",61.2,10.6,23.5
"Livingston, IL",54.3,8.7,20.8
"Logan, IL",53.5,8.5,19.5
"Macon, IL",55.3,8.2,19.4
"Macoupin, IL",54.6,9.9,22.0
"Madison, IL",58.6,9.6,21.7
"Marion, IL",47.3,6.9,17.3
"Marshall, IL",57.8,10.3,23.0
"Mason, IL",51.5,9.3,20.8
"Massac, IL",44.3,6.4,16.1
"McDonough, IL",53.7,8.6,18.8
"McHenry, IL",70.1,10.1,22.2
"McLean, IL",59.8,8.3,19.2
"Menard, IL",55.6,8.9,20.0
"Mercer, IL",55.6,9.9,21.6
"Monroe, IL",64.5,10.6,23.2
"Montgomery, IL",49.0,8.7,19.2
"Morgan, IL",52.7,9.2,20.3
"Moultrie, IL",50.1,6.9,17.3
"Ogle, IL",60.3,9.4,21.3
"Peoria, IL",58.6,9.1,20.2
"Perry, IL",48.1,7.6,18.1
"Piatt, IL",55.4,9.0,20.0
"Pike, IL",47.7,8.1,18.3
"Pope, IL",41.0,7.1,15.8
"Pulaski, IL",34.9,5.5,14.0
"Putnam, IL",61.2,12.7,25.3
"Randolph, IL",53.6,8.5,20.2
"Richland, IL",47.5,7.2,17.8
"Rock Island, IL",59.5,9.3,20.8
"Saline, IL",42.5,5.5,15.1
"Sangamon, IL",60.0,9.0,20.9
"Schuyler, IL",51.4,7.3,18.1
"Scott, IL",48.9,8.4,19.8
"Shelby, IL",51.0,8.1,18.9
"St. Clair, IL",57.0,9.2,20.7
"Stark, IL",53.2,9.3,20.1
"Stephenson, IL",59.2,8.3,19.9
"Tazewell, IL",58.2,8.9,20.0
"Union, IL",43.1,6.3,16.0
"Vermilion, IL",50.1,7.2,17.5
"Wabash, IL",50.2,6.8,18.1
"Warren, IL",54.6,8.0,19.4
"Washington, IL",58.7,10.8,23.9
"Wayne, IL",44.5,5.4,14.7
"White, IL",46.0,6.4,16.2
"Whiteside, IL",57.3,8.9,21.4
"Will, IL",65.8,8.9,21.7
"Williamson, IL",48.4,7.1,17.1
"Winnebago, IL",62.0,8.8,20.5
"Woodford, IL",58.9,8.2,19.1
"Adams, IN",45.6,5.6,15.0
"Allen, IN",58.3,7.0,17.5
"Bartholomew, IN",53.0,7.0,16.5
"Benton, IN",52.0,7.4,20.0
"Blackford, IN",46.8,6.7,16.6
"Boone, IN",57.0,6.8,16.9
"Brown, IN",51.1,7.3,16.7
"Carroll, IN",49.8,7.4,17.7
"Cass, IN",47.4,7.0,17.5
"Clark, IN",51.7,6.7,16.8
"Clay, IN",45.0,6.6,16.2
"Clinton, IN",49.4,6.8,17.5
"Crawford, IN",37.3,7.2,15.2
"Daviess, IN",46.6,5.8,16.4
"Dearborn, IN",57.5,8.8,19.3
"Decatur, IN",51.6,7.9,18.9
"DeKalb, IN",53.2,7.5,17.9
"Delaware, IN",48.4,6.8,15.4
"Dubois, IN",60.8,10.2,24.1
"Elkhart, IN",50.9,6.0,14.9
"Fayette, IN",43.0,7.1,16.1
"Floyd, IN",50.9,7.3,17.5
"Fountain, IN",47.7,7.3,17.3
"Franklin, IN",54.0,8.3,19.0
"Fulton, IN",49.1,7.6,17.8
"Gibson, IN",51.3,8.4,19.1
"Grant, IN",44.3,6.7,15.4
"Greene, IN",44.0,6.6,16.6
"Hamilton, IN",64.8,7.1,17.5
"Hancock, IN",54.8,7.0,16.1
"Harrison, IN",49.0,7.5,17.3
"Hendricks, IN",54.9,6.8,16.6
"Henry, IN",44.8,6.3,14.9
"Howard, IN",48.9,6.5,16.2
"Huntington, IN",50.4,8.2,18.9
"Jackson, IN",47.3,5.5,15.1
"Jasper, IN",53.2,7.8,18.3
"Jay, IN",46.2,6.7,16.2
"Jefferson, IN",50.0,6.7,17.0
"Jennings, IN",44.7,7.2,16.2
"Johnson, IN",53.9,6.8,16.2
"Knox, IN",49.8,7.8,18.9
"Kosciusko, IN",52.3,6.7,16.2
"LaGrange, IN",43.2,4.7,13.6
"Lake, IN",56.0,6.6,17.7
"LaPorte, IN",58.3,8.5,19.5
"Lawrence, IN",43.2,6.6,15.3
"Madison, IN",48.7,6.6,15.8
"Marion, IN",56.0,7.0,16.9
"Marshall, IN",49.4,6.8,16.4
"Martin, IN",50.5,7.4,18.7
"Miami, IN",43.6,7.2,16.2
"Monroe, IN",57.3,8.3,17.4
"Montgomery, IN",48.8,7.2,17.8
"Morgan, IN",48.1,6.8,16.2
"Newton, IN",53.7,8.8,19.9
"Noble, IN",48.2,6.8,16.5
"Ohio, IN",48.7,6.9,16.8
"Orange, IN",43.7,5.8,15.4
"Owen, IN",44.7,7.6,17.1
"Parke, IN",43.7,6.8,16.4
"Perry, IN",53.2,9.3,20.7
"Pike, IN",45.1,6.6,16.5
"Porter, IN",61.5,8.3,19.0
"Posey, IN",52.5,8.8,20.3
"Pulaski, IN",50.0,6.9,16.8
"Putnam, IN",46.2,6.9,15.9
"Randolph, IN",43.7,6.2,15.3
"Ripley, IN",53.0,9.5,21.0
"Rush, IN",47.7,7.0,16.4
"Scott, IN",43.6,6.0,15.2
"Shelby, IN",49.9,8.6,18.0
"Spencer, IN",52.0,7.5,19.0
"St. Joseph, IN",59.7,8.6,19.9
"Starke, IN",49.9,8.3,18.9
"Steuben, IN",54.5,7.9,17.8
"Sullivan, IN",44.0,6.6,16.4
"Switzerland, IN",47.0,7.4,17.6
"Tippecanoe, IN",55.8,7.9,17.7
"Tipton, IN",49.5,7.0,16.5
"Union, IN",47.7,6.2,16.0
"Vanderburgh, IN",52.9,7.2,18.5
"Vermillion, IN",45.5,9.5,19.5
"Vigo, IN",50.7,7.4,17.4
"Wabash, IN",47.8,6.6,16.1
"Warren, IN",46.4,6.3,16.1
"Warrick, IN",54.8,7.5,18.0
"Washington, IN",43.3,6.1,15.2
"Wayne, IN",46.6,6.9,16.0
"Wells, IN",49.8,6.0,15.1
"White, IN",49.9,6.4,16.7
"Whitley, IN",51.7,7.6,17.0
"Adair, IA",56.6,8.3,20.5
"Adams, IA",55.9,9.4,22.4
"Allamakee, IA",64.8,9.9,26.3
"Appanoose, IA",50.3,8.2,19.7
"Audubon, IA",57.6,8.1,21.8
"Benton, IA",62.6,9.8,23.4
"Black Hawk, IA",63.5,10.3,24.0
"Boone, IA",59.9,9.1,22.9
"Bremer, IA",66.2,9.2,24.3
"Buchanan, IA",64.7,10.5,25.5
"Buena Vista, IA",56.4,7.2,19.3
"Butler, IA",59.5,8.7,23.2
"Calhoun, IA",58.9,8.5,22.1
"Carroll, IA",66.9,11.1,25.6
"Cass, IA",57.2,8.3,20.8
"Cedar, IA",63.3,10.5,25.1
"Cerro Gordo, IA",63.7,8.7,23.0
"Cherokee, IA",62.6,8.6,22.7
"Chickasaw, IA",64.5,10.0,25.6
"Clarke, IA",51.5,8.2,19.8
"Clay, IA",62.4,8.1,21.8
"Clayton, IA",63.5,10.6,27.3
"Clinton, IA",65.3,11.8,28.0
"Crawford, IA",56.8,8.2,20.5
"Dallas, IA",63.9,8.1,21.4
"Davis, IA",47.9,7.3,18.2
"Decatur, IA",48.1,8.3,18.3
"Delaware, IA",66.0,12.2,27.4
"Des Moines, IA",55.6,9.2,22.4
"Dickinson, IA",68.8,10.3,27.0
"Dubuque, IA",71.0,12.3,29.5
"Emmet, IA",61.6,7.8,22.0
"Fayette, IA",62.0,9.6,25.4
"Floyd, IA",61.2,9.0,23.3
"Franklin, IA",58.0,8.0,21.6
"Fremont, IA",58.5,9.9,24.4
"Greene, IA",59.6,8.1,21.5
"Grundy, IA",61.7,9.2,23.4
"Guthrie, IA",58.2,8.9,21.6
"Hamilton, IA",59.5,8.4,22.0
"Hancock, IA",58.8,8.0,21.3
"Hardin, IA",60.6,8.1,21.4
"Harrison, IA",57.3,9.0,21.3
"Henry, IA",54.5,8.8,21.8
"Howard, IA",66.2,10.6,26.3
"Humboldt, IA",62.9,8.7,23.6
"Ida, IA",58.4,7.5,20.9
"Iowa, IA",60.5,9.5,22.2
"Jackson, IA",65.6,12.0,27.6
"Jasper, IA",54.7,8.8,21.5
"Jefferson, IA",52.7,8.0,18.8
"Johnson, IA",68.0,10.6,22.0
"Jones, IA",63.4,10.8,25.3
"Keokuk, IA",54.5,9.4,21.7
"Kossuth, IA",62.5,9.5,23.3
"Lee, IA",57.9,10.1,24.3
"Linn, IA",65.4,9.4,22.7
"Louisa, IA",52.6,8.9,21.1
"Lucas, IA",55.0,9.1,21.1
"Lyon, IA",60.0,7.7,21.1
"Madison, IA",57.6,8.8,21.4
"Mahaska, IA",54.9,8.1,19.4
"Marion, IA",58.8,8.1,20.5
"Marshall, IA",57.4,8.6,22.1
"Mills, IA",56.6,8.5,20.0
"Mitchell, IA",64.0,9.0,22.8
"Monona, IA",59.1,9.3,24.1
"Monroe, IA",59.1,10.2,24.5
"Montgomery, IA",57.7,8.1,22.3
"Muscatine, IA",59.9,9.2,22.5
"O'Brien, IA",61.7,7.6,20.9
"Osceola, IA",60.7,7.6,21.4
"Page, IA",55.0,7.6,19.3
"Palo Alto, IA",61.0,8.7,22.2
"Plymouth, IA",65.3,9.7,24.9
"Pocahontas, IA",61.7,10.0,24.9
"Polk, IA",64.2,8.8,22.0
"Pottawattamie, IA",59.0,9.5,22.9
"Poweshiek, IA",61.2,9.9,23.4
"Ringgold, IA",54.5,8.3,20.9
"Sac, IA",60.6,9.3,23.0
"Scott, IA",67.8,11.6,25.5
"Shelby, IA",64.2,10.0,24.3
"Sioux, IA",60.4,6.4,18.4
"Story, IA",63.9,8.6,20.4
"Tama, IA",59.5,9.8,24.0
"Taylor, IA",51.1,8.3,20.1
"Union, IA",57.9,9.0,22.5
"Van Buren, IA",51.3,9.0,20.8
"Wapello, IA",50.7,8.4,20.0
"Warren, IA",63.0,9.2,22.1
"Washington, IA",57.7,9.1,21.3
"Wayne, IA",50.8,8.6,20.3
"Webster, IA",60.0,9.3,23.5
"Winnebago, IA",61.6,8.2,23.7
"Winneshiek, IA",71.2,11.1,29.1
"Woodbury, IA",58.7,8.3,21.1
"Worth, IA",59.0,7.8,22.2
"Wright, IA",61.8,9.1,25.0
"Allen, KS",45.6,6.7,16.3
"Anderson, KS",49.2,6.8,16.1
"Atchison, KS",54.0,7.4,18.7
"Barber, KS",49.7,6.7,16.1
"Barton, KS",49.7,6.7,17.2
"Bourbon, KS",47.4,6.6,16.1
"Brown, KS",51.3,8.2,20.0
"Butler, KS",51.5,6.0,15.1
"Chase, KS",47.6,6.2,14.3
"Chautauqua, KS",42.3,6.3,14.8
"Cherokee, KS",45.4,7.4,16.8
"Cheyenne, KS",50.5,6.9,18.1
"Clark, KS",45.6,6.3,15.2
"Clay, KS",55.9,6.8,18.7
"Cloud, KS",54.3,7.8,19.4
"Coffey, KS",50.6,6.5,16.6
"Comanche, KS",49.7,7.2,18.8
"Cowley, KS",44.9,5.8,13.5
"Crawford, KS",50.5,7.1,16.9
"Decatur, KS",53.0,7.2,19.2
"Dickinson, KS",52.1,6.8,17.7
"Doniphan, KS",51.4,7.6,19.0
"Douglas, KS",61.1,8.0,19.4
"Edwards, KS",51.1,7.8,18.6
"Elk, KS",44.1,6.7,16.2
"Ellis, KS",58.7,8.5,20.8
"Ellsworth, KS",52.2,7.1,17.1
"Finney, KS",45.3,6.2,15.6
"Ford, KS",45.6,5.9,15.3
"Franklin, KS",51.6,6.8,17.6
"Geary, KS",52.3,6.9,15.2
"Gove, KS",51.5,7.8,18.4
"Graham, KS",54.0,8.4,20.0
"Grant, KS",46.6,5.9,15.3
"Gray, KS",43.6,5.6,14.2
"Greeley, KS",50.5,7.4,19.2
"Greenwood, KS",47.5,6.3,15.8
"Hamilton, KS",46.1,6.9,17.4
"Harper, KS",47.1,6.8,16.0
"Harvey, KS",48.2,5.3,14.6
"Haskell, KS",42.0,5.8,14.3
"Hodgeman, KS",47.7,6.1,15.5
"Jackson, KS",51.1,7.3,17.7
"Jefferson, KS",54.7,8.1,19.6
"Jewell, KS",52.3,7.1,18.6
"Johnson, KS",64.8,7.1,18.2
"Kearny, KS",44.7,6.4,16.1
"Kingman, KS",52.0,6.6,16.4
"Kiowa, KS",48.8,6.3,16.3
"Labette, KS",44.5,6.3,15.3
"Lane, KS",53.7,7.2,19.7
"Leavenworth, KS",55.6,7.2,16.9
"Lincoln, KS",47.8,6.3,15.4
"Linn, KS",45.0,6.8,16.3
"Logan, KS",50.3,6.4,16.0
"Lyon, KS",50.4,6.7,16.6
"Marion, KS",47.0,5.4,13.9
"Marshall, KS",56.5,8.1,20.0
"McPherson, KS",48.6,5.4,15.0
"Meade, KS",47.0,6.0,15.7
"Miami, KS",54.0,7.3,17.9
"Mitchell, KS",57.1,7.5,18.5
"Montgomery, KS",44.7,6.5,15.1
"Morris, KS",49.7,7.0,17.6
"Morton, KS",46.5,6.7,16.3
"Nemaha, KS",59.0,8.8,20.3
"Neosho, KS",47.6,7.1,17.2
"Ness, KS",55.1,8.4,20.4
"Norton, KS",53.0,6.8,17.2
"Osage, KS",49.5,6.5,16.8
"Osborne, KS",48.8,6.7,16.3
"Ottawa, KS",50.5,7.1,17.9
"Pawnee, KS",50.9,6.7,17.1
"Phillips, KS",51.5,6.6,18.1
"Pottawatomie, KS",56.7,7.1,17.7
"Pratt, KS",52.0,6.5,17.3
"Rawlins, KS",54.9,8.5,21.2
"Reno, KS",48.1,5.8,15.0
"Republic, KS",57.2,8.7,21.4
"Rice, KS",48.8,6.0,16.1
"Riley, KS",57.2,7.1,17.5
"Rooks, KS",53.0,7.7,19.2
"Rush, KS",51.8,7.7,20.4
"Russell, KS",54.1,6.9,18.7
"Saline, KS",51.7,6.1,16.5
"Scott, KS",52.4,6.0,16.3
"Sedgwick, KS",52.0,5.8,14.8
"Seward, KS",42.6,5.9,15.0
"Shawnee, KS",53.5,6.3,16.7
"Sheridan, KS",54.9,8.1,19.6
"Sherman, KS",54.1,6.9,18.5
"Smith, KS",49.9,6.2,16.8
"Stafford, KS",44.8,6.1,15.4
"Stanton, KS",41.8,6.0,15.8
"Stevens, KS",46.2,5.4,14.4
"Sumner, KS",50.6,6.9,16.7
"Thomas, KS",55.0,7.6,19.2
"Trego, KS",53.5,7.9,18.7
"Wabaunsee, KS",51.7,6.9,16.9
"Wallace, KS",47.4,6.6,17.1
"Washington, KS",58.0,8.3,20.7
"Wichita, KS",46.8,6.6,16.3
"Wilson, KS",43.1,6.5,16.1
"Woodson, KS",44.4,7.1,16.0
"Wyandotte, KS",47.2,6.8,16.4
"Adair, KY",30.0,5.0,10.5
"Allen, KY",30.9,4.7,10.8
"Anderson, KY",42.1,5.5,13.0
"Ballard, KY",28.7,3.7,9.1
"Barren, KY",32.4,4.1,10.1
"Bath, KY",27.5,4.5,9.1
"Bell, KY",22.0,3.5,9.0
"Boone, KY",56.9,8.4,18.0
"Bourbon, KY",40.8,6.3,13.1
"Boyd, KY",34.9,5.5,12.3
"Boyle, KY",38.8,4.5,11.9
"Bracken, KY",38.2,7.1,15.8
"Breathitt, KY",23.9,5.2,10.5
"Breckinridge, KY",32.0,5.4,11.8
"Bullitt, KY",42.8,5.6,13.1
"Butler, KY",24.1,3.3,8.4
"Caldwell, KY",28.5,3.3,8.8
"Calloway, KY",38.0,4.9,11.3
"Campbell, KY",61.5,11.2,25.1
"Carlisle, KY",30.1,4.3,9.7
"Carroll, KY",40.6,5.5,13.9
"Carter, KY",27.3,4.4,10.1
"Casey, KY",28.1,5.0,10.1
"Christian, KY",37.2,5.0,12.1
"Clark, KY",39.0,5.3,11.9
"Clay, KY",19.9,3.8,8.9
"Clinton, KY",26.9,5.0,10.5
"Crittenden, KY",30.0,4.0,10.0
"Cumberland, KY",29.9,5.5,11.3
"Daviess, KY",44.0,6.8,15.5
"Edmonson, KY",28.8,4.5,10.0
"Elliott, KY",26.3,5.3,10.8
"Estill, KY",26.4,4.4,10.1
"Fayette, KY",54.3,8.0,16.6
"Fleming, KY",31.6,5.4,11.1
"Floyd, KY",24.8,4.7,9.9
"Franklin, KY",48.1,6.7,14.6
"Fulton, KY",34.3,6.1,13.0
"Gallatin, KY",34.5,5.5,11.7
"Garrard, KY",32.2,4.5,10.4
"Grant, KY",34.2,4.4,10.4
"Graves, KY",29.6,4.0,10.3
"Grayson, KY",30.0,4.4,10.8
"Green, KY",24.7,3.3,8.5
"Greenup, KY",32.7,4.7,10.9
"Hancock, KY",30.0,4.0,9.9
"Hardin, KY",40.0,4.6,11.5
"Harlan, KY",22.8,4.0,9.5
"Harrison, KY",39.0,6.3,13.1
"Hart, KY",28.4,4.2,10.0
"Henderson, KY",40.4,6.0,13.3
"Henry, KY",37.0,5.6,11.7
"Hickman, KY",26.1,3.6,9.3
"Hopkins, KY",33.7,5.2,11.5
"Jackson, KY",23.7,3.8,9.6
"Jefferson, KY",53.9,7.5,17.4
"Jessamine, KY",43.0,6.0,12.3
"Johnson, KY",26.2,4.5,9.9
"Kenton, KY",61.6,11.0,23.4
"Knott, KY",23.8,4.4,9.7
"Knox, KY",21.8,3.8,9.0
"Larue, KY",31.3,4.1,9.9
"Laurel, KY",27.5,3.9,9.8
"Lawrence, KY",25.0,4.4,9.8
"Lee, KY",23.8,4.7,9.6
"Leslie, KY",23.1,4.2,9.2
"Letcher, KY",23.0,4.3,9.2
"Lewis, KY",27.5,4.6,11.7
"Lincoln, KY",27.3,3.7,9.1
"Livingston, KY",31.2,4.8,10.2
"Logan, KY",30.8,4.1,10.5
"Lyon, KY",32.3,4.7,10.4
"Madison, KY",41.2,6.0,13.3
"Magoffin, KY",21.6,4.0,9.0
"Marion, KY",47.3,8.5,18.0
"Marshall, KY",36.2,5.1,11.4
"Martin, KY",21.3,4.3,8.9
"Mason, KY",42.4,7.7,16.7
"McCracken, KY",44.2,5.7,13.9
"McCreary, KY",24.5,3.9,9.1
"McLean, KY",28.8,4.5,10.1
"Meade, KY",40.3,5.1,13.4
"Menifee, KY",26.3,4.4,10.1
"Mercer, KY",34.8,4.2,10.1
"Metcalfe, KY",24.4,3.5,8.3
"Monroe, KY",25.2,4.0,8.9
"Montgomery, KY",36.0,6.0,12.8
"Morgan, KY",25.5,4.8,10.2
"Muhlenberg, KY",26.2,3.7,9.3
"Nelson, KY",49.7,7.7,18.1
"Nicholas, KY",33.5,6.0,12.1
"Ohio, KY",27.4,3.9,9.5
"Oldham, KY",54.2,6.9,14.5
"Owen, KY",31.5,4.2,9.6
"Owsley, KY",22.9,4.7,9.4
"Pendleton, KY",32.7,4.7,11.0
"Perry, KY",27.9,5.2,11.4
"Pike, KY",23.2,4.2,9.2
"Powell, KY",26.8,4.4,10.2
"Pulaski, KY",28.6,3.9,9.4
"Robertson, KY",30.3,6.1,11.2
"Rockcastle, KY",23.2,3.5,8.5
"Rowan, KY",34.3,5.8,12.2
"Russell, KY",28.6,4.6,10.0
"Scott, KY",44.5,5.7,12.4
"Shelby, KY",42.9,5.3,11.9
"Simpson, KY",35.1,4.5,11.8
"Spencer, KY",37.5,4.9,11.3
"Taylor, KY",32.9,4.6,10.8
"Todd, KY",25.1,3.3,8.5
"Trigg, KY",33.9,4.3,10.9
"Trimble, KY",34.5,4.5,10.3
"Union, KY",41.1,6.5,14.4
"Warren, KY",43.2,6.0,14.6
"Washington, KY",41.9,6.3,14.7
"Wayne, KY",23.7,3.2,8.5
"Webster, KY",30.0,4.9,10.4
"Whitley, KY",24.2,3.4,8.4
"Wolfe, KY",26.2,5.9,12.2
"Woodford, KY",49.3,7.2,14.9
"Acadia, LA",46.9,8.3,17.3
"Allen, LA",41.0,7.0,14.5
"Ascension, LA",54.3,9.4,18.3
"Assumption, LA",49.6,8.7,18.8
"Avoyelles, LA",46.0,8.1,17.2
"Beauregard, LA",40.5,5.6,12.7
"Bienville, LA",36.9,5.2,11.7
"Bossier, LA",45.9,6.4,14.1
"Caddo, LA",46.6,6.8,14.4
"Calcasieu, LA",48.4,8.0,16.5
"Caldwell, LA",34.3,5.5,11.8
"Cameron, LA",49.1,9.2,20.8
"Catahoula, LA",35.9,6.1,12.2
"Claiborne, LA",38.9,5.8,12.6
"Concordia, LA",39.9,6.0,12.7
"De Soto, LA",39.5,6.4,13.4
"East Baton Rouge, LA",55.0,6.5,14.9
"East Carroll, LA",33.5,5.1,11.5
"East Feliciana, LA",40.3,5.2,12.1
"Evangeline, LA",45.9,7.8,17.4
"Franklin, LA",30.9,4.8,11.3
"Grant, LA",35.8,5.9,12.4
"Iberia, LA",50.5,8.2,17.7
"Iberville, LA",43.3,6.5,14.8
"Jackson, LA",36.2,5.5,11.8
"Jefferson Davis, LA",48.7,8.5,18.7
"Jefferson, LA",55.5,8.2,18.7
"La Salle, LA",34.0,5.0,10.8
"Lafayette, LA",57.8,9.0,19.9
"Lafourche, LA",50.4,8.4,19.9
"Lincoln, LA",44.6,5.6,12.7
"Livingston, LA",45.4,6.3,14.0
"Madison, LA",42.1,7.8,15.3
"Morehouse, LA",36.6,5.8,12.1
"Natchitoches, LA",40.5,6.2,12.8
"Orleans, LA",60.2,9.2,21.3
"Ouachita, LA",43.9,6.0,12.7
"Plaquemines, LA",53.4,8.0,18.9
"Pointe Coupee, LA",52.1,9.0,19.4
"Rapides, LA",43.1,6.2,13.5
"Red River, LA",38.5,7.3,13.8
"Richland, LA",34.5,4.7,10.3
"Sabine, LA",35.0,6.0,12.6
"St. Bernard, LA",53.0,9.0,20.0
"St. Charles, LA",55.7,8.3,18.4
"St. Helena, LA",40.0,5.8,13.1
"St. James, LA",54.1,9.1,20.7
"St. John the Baptist, LA",51.4,7.9,16.2
"St. Landry, LA",50.5,8.8,18.6
"St. Martin, LA",51.3,10.1,20.2
"St. Mary, LA",49.1,8.6,19.0
"St. Tammany, LA",58.8,7.3,17.0
"Tangipahoa, LA",43.7,6.3,14.0
"Tensas, LA",36.4,5.9,12.5
"Terrebonne, LA",50.9,8.9,19.6
"Union, LA",33.5,5.4,11.5
"Vermilion, LA",53.1,9.4,20.8
"Vernon, LA",40.4,6.9,13.6
"Washington, LA",37.2,5.3,12.3
"Webster, LA",39.4,5.6,12.5
"West Baton Rouge, LA",50.4,8.7,18.6
"West Carroll, LA",30.2,4.5,11.3
"West Feliciana, LA",42.5,5.7,13.8
"Winn, LA",34.2,5.6,11.7
"Androscoggin, ME",59.9,8.6,17.9
"Aroostook, ME",54.6,8.3,17.2
"Cumberland, ME",69.0,10.8,19.9
"Franklin, ME",60.8,9.0,17.9
"Hancock, ME",64.0,10.9,17.8
"Kennebec, ME",61.2,9.0,16.8
"Knox, ME",63.0,10.2,16.9
"Lincoln, ME",65.4,11.0,17.3
#VALUE!,62.6,9.7,18.3
"Oxford, ME",60.4,10.0,18.1
"Penobscot, ME",57.5,8.5,16.9
"Piscataquis, ME",56.7,8.8,16.5
"Sagadahoc, ME",65.9,10.1,17.7
"Somerset, ME",55.4,9.1,17.4
"Waldo, ME",60.3,9.6,16.9
"Washington, ME",55.3,10.2,18.8
"York, ME",65.8,10.2,19.8
"Allegany, MD",49.5,7.5,16.8
"Anne Arundel, MD",64.1,7.2,18.6
"Baltimo, MD",56.9,8.3,19.5
"Baltimore, MD",61.0,7.2,17.2
"Calvert, MD",62.2,7.7,17.7
"Caroline, MD",50.9,6.1,15.7
"Carroll, MD",60.8,6.8,16.7
"Cecil, MD",55.3,8.0,18.3
"Charles, MD",56.7,6.8,15.7
"Dorchester, MD",49.7,6.2,15.2
"Frederick, MD",60.2,6.6,16.2
"Garrett, MD",44.7,6.3,13.7
"Harford, MD",61.5,6.9,17.4
"Howard, MD",67.8,7.3,16.4
"Kent, MD",62.0,9.6,19.2
"Montgomery, MD",65.0,6.1,14.6
"Prince George's, MD",52.9,5.0,13.2
"Queen Anne's, MD",65.6,10.1,21.1
"Somerset, MD",48.4,6.3,14.8
"St. Mary's, MD",60.0,7.4,18.2
"Talbot, MD",64.1,9.1,17.8
"Washington, MD",51.8,6.3,15.8
"Wicomico, MD",54.6,6.3,15.9
"Worcester, MD",63.9,9.9,20.7
"Barnstable, MA",72.9,11.8,21.4
"Berkshire, MA",67.7,11.5,21.7
"Bristol, MA",63.1,9.2,19.7
"Dukes, MA",70.8,15.6,23.4
"Essex, MA",65.8,9.0,20.1
"Franklin, MA",66.6,10.5,19.7
"Hampden, MA",60.5,8.5,19.6
"Hampshire, MA",69.3,10.1,20.3
"Middlesex, MA",68.2,9.1,19.2
"Nantucket, MA",72.6,16.6,23.8
"Norfolk, MA",70.5,9.7,20.3
"Plymouth, MA",66.6,10.1,20.1
"Suffolk, MA",61.2,10.3,20.2
"Worcester, MA",64.2,9.5,19.9
"Alcona, MI",59.2,11.9,24.2
"Alger, MI",61.5,12.4,25.1
"Allegan, MI",59.3,8.0,19.2
"Alpena, MI",63.0,11.0,23.8
"Antrim, MI",61.8,10.4,22.1
"Arenac, MI",58.9,10.3,23.5
"Baraga, MI",52.1,10.6,23.8
"Barry, MI",57.4,8.9,19.2
"Bay, MI",64.6,11.2,25.1
"Benzie, MI",60.4,9.6,20.6
"Berrien, MI",55.5,7.4,17.8
"Branch, MI",53.1,9.0,19.3
"Calhoun, MI",55.3,7.9,18.3
"Cass, MI",55.0,8.3,18.6
"Charlevoix, MI",64.5,10.0,22.4
"Cheboygan, MI",61.3,10.8,23.7
"Chippewa, MI",60.4,10.9,25.4
"Clare, MI",54.6,10.3,21.6
"Clinton, MI",63.7,9.5,21.4
"Crawford, MI",60.4,12.0,23.3
"Delta, MI",66.5,13.9,28.5
"Dickinson, MI",68.6,13.0,27.5
