county_state,cig_total_2012,cig_daily_2012
"Ulster, NY",19.93,13.64
"Warren, NY",20.99,15.3
"Washington, NY",22.62,16.72
"Wayne, NY",21.01,15.5
"Westchester, NY",14.8,9.0
"Wyoming, NY",24.47,17.84
"Yates, NY",20.86,15.18
"Alamance, NC",24.74,17.4
"Alexander, NC",25.58,20.35
"Alleghany, NC",25.58,19.53
"Anson, NC",26.28,18.72
"Ashe, NC",25.06,19.16
"Avery, NC",23.65,17.67
"Beaufort, NC",23.46,17.36
"Bertie, NC",25.99,17.6
"Bladen, NC",26.35,18.75
"Brunswick, NC",24.55,17.54
"Buncombe, NC",21.76,15.79
"Burke, NC",26.01,20.43
"Cabarrus, NC",21.52,15.55
"Caldwell, NC",27.53,22.52
"Camden, NC",22.02,16.0
"Carteret, NC",23.52,17.39
"Caswell, NC",27.94,19.88
"Catawba, NC",23.34,17.75
"Chatham, NC",18.33,11.92
"Cherokee, NC",25.31,18.42
"Chowan, NC",24.9,17.94
"Clay, NC",23.67,17.14
"Cleveland, NC",26.08,19.24
"Columbus, NC",26.57,18.52
"Craven, NC",22.42,16.32
"Cumberland, NC",23.24,15.53
"Currituck, NC",23.77,17.58
"Dare, NC",21.39,15.45
"Davidson, NC",25.9,19.98
"Davie, NC",22.82,17.15
"Duplin, NC",25.42,17.75
"Durham, NC",17.02,10.6
"Edgecombe, NC",26.87,19.33
"Forsyth, NC",21.89,15.3
"Franklin, NC",24.31,17.34
"Gaston, NC",26.12,19.28
"Gates, NC",24.9,18.24
"Graham, NC",26.74,19.47
"Granville, NC",25.02,17.44
"Greene, NC",24.84,16.72
"Guilford, NC",20.11,13.92
"Halifax, NC",27.18,19.05
"Harnett, NC",23.72,16.9
"Haywood, NC",24.56,18.05
"Henderson, NC",21.75,15.41
"Hertford, NC",24.95,16.75
"Hoke, NC",23.19,15.78
"Hyde, NC",25.17,17.81
"Iredell, NC",21.43,16.15
"Jackson, NC",23.4,15.87
"Johnston, NC",23.16,17.45
"Jones, NC",25.8,18.22
"Lee, NC",23.25,16.07
"Lenoir, NC",25.95,18.31
"Lincoln, NC",22.87,17.28
"McDowell, NC",28.0,21.67
"Macon, NC",24.37,17.14
"Madison, NC",25.31,18.84
"Martin, NC",24.93,18.13
"Mecklenburg, NC",15.77,10.56
"Mitchell, NC",26.29,19.76
"Montgomery, NC",24.83,18.07
"Moore, NC",20.12,13.96
"Nash, NC",24.47,17.52
"New Hanover, NC",20.8,14.95
"Northampton, NC",27.66,18.92
"Onslow, NC",23.0,16.43
"Orange, NC",15.3,9.59
"Pamlico, NC",23.13,16.83
"Pasquotank, NC",23.66,16.81
"Pender, NC",23.78,17.26
"Perquimans, NC",23.09,16.74
"Person, NC",25.23,18.03
"Pitt, NC",22.41,15.46
"Polk, NC",23.08,16.14
"Randolph, NC",26.55,20.25
"Richmond, NC",26.01,19.12
"Robeson, NC",28.45,19.24
"Rockingham, NC",27.82,20.57
"Rowan, NC",26.1,20.07
"Rutherford, NC",27.29,20.34
"Sampson, NC",25.17,18.04
"Scotland, NC",25.45,18.0
"Stanly, NC",24.93,18.74
"Stokes, NC",27.27,20.91
"Surry, NC",25.46,19.5
"Swain, NC",27.06,18.26
"Transylvania, NC",21.56,14.92
"Tyrrell, NC",27.26,19.5
"Union, NC",18.24,12.76
"Vance, NC",28.73,19.27
"Wake, NC",14.91,9.83
"Warren, NC",26.88,17.58
"Washington, NC",24.81,17.57
"Watauga, NC",17.59,12.72
"Wayne, NC",24.36,17.51
"Wilkes, NC",26.45,21.11
"Wilson, NC",24.83,17.66
"Yadkin, NC",25.53,19.79
"Yancey, NC",25.44,18.61
"Adams, ND",22.61,16.89
"Barnes, ND",21.65,16.29
"Benson, ND",33.36,23.96
"Billings, ND",21.99,16.48
"Bottineau, ND",22.04,16.36
"Bowman, ND",20.93,15.52
"Burke, ND",24.07,18.03
"Burleigh, ND",18.82,13.88
"Cass, ND",18.99,13.59
"Cavalier, ND",21.76,16.42
"Dickey, ND",20.72,15.13
"Divide, ND",22.77,16.8
"Dunn, ND",24.0,17.86
"Eddy, ND",24.31,18.16
"Emmons, ND",23.22,17.63
"Foster, ND",22.58,17.05
"Golden Valley, ND",23.79,18.0
"Grand Forks, ND",19.54,14.52
"Grant, ND",23.01,17.54
"Griggs, ND",24.75,19.11
"Hettinger, ND",23.37,17.67
"Kidder, ND",21.16,15.83
"LaMoure, ND",21.64,16.26
"Logan, ND",24.29,18.84
"McHenry, ND",25.31,19.16
"McIntosh, ND",22.37,16.81
"McKenzie, ND",25.03,18.17
"McLean, ND",22.84,16.84
"Mercer, ND",23.16,17.6
"Morton, ND",21.79,16.55
"Mountrail, ND",26.26,18.41
"Nelson, ND",22.21,16.53
"Oliver, ND",21.86,16.4
"Pembina, ND",22.39,16.68
"Pierce, ND",26.29,20.72
"Ramsey, ND",25.34,19.31
"Ransom, ND",23.66,17.93
"Renville, ND",23.03,17.04
"Richland, ND",23.45,17.84
"Rolette, ND",31.77,21.13
"Sargent, ND",22.29,16.68
"Sheridan, ND",21.76,16.56
"Sioux, ND",35.23,23.84
"Slope, ND",21.33,15.91
"Stark, ND",22.53,17.42
"Steele, ND",22.56,17.01
"Stutsman, ND",24.96,19.41
"Towner, ND",21.49,15.72
"Traill, ND",19.21,13.88
"Walsh, ND",24.29,18.57
"Ward, ND",22.79,16.58
"Wells, ND",22.32,16.83
"Williams, ND",26.98,20.65
"Adams, OH",29.2,23.31
"Allen, OH",25.7,19.54
"Ashland, OH",23.56,17.99
"Ashtabula, OH",29.01,23.44
"Athens, OH",22.16,16.35
"Auglaize, OH",22.91,17.9
"Belmont, OH",27.86,21.54
"Brown, OH",29.11,22.66
"Butler, OH",23.57,17.51
"Carroll, OH",28.36,21.56
"Champaign, OH",25.61,19.36
"Clark, OH",27.52,20.61
"Clermont, OH",23.69,17.72
"Clinton, OH",27.51,21.2
"Columbiana, OH",29.82,23.31
"Coshocton, OH",27.12,21.74
"Crawford, OH",27.23,22.41
"Cuyahoga, OH",22.91,16.48
"Darke, OH",25.56,20.21
"Defiance, OH",23.5,17.91
"Delaware, OH",14.77,10.21
"Erie, OH",23.62,17.85
"Fairfield, OH",21.48,16.71
"Fayette, OH",28.55,22.47
"Franklin, OH",20.65,15.3
"Fulton, OH",23.45,18.25
"Gallia, OH",26.42,20.66
"Geauga, OH",20.35,14.69
"Greene, OH",19.54,13.57
"Guernsey, OH",28.38,22.06
"Hamilton, OH",21.81,15.39
"Hancock, OH",22.67,16.91
"Hardin, OH",26.01,20.57
"Harrison, OH",29.91,22.81
"Henry, OH",24.27,18.82
"Highland, OH",30.19,23.95
"Hocking, OH",25.98,20.54
"Holmes, OH",29.05,23.18
"Huron, OH",25.43,20.0
"Jackson, OH",28.24,22.36
"Jefferson, OH",28.31,22.09
"Knox, OH",23.15,18.12
"Lake, OH",23.36,18.39
"Lawrence, OH",27.45,21.76
"Licking, OH",23.63,18.87
"Logan, OH",25.92,20.31
"Lorain, OH",23.2,17.07
"Lucas, OH",25.27,19.08
"Madison, OH",26.19,19.65
"Mahoning, OH",27.19,20.26
"Marion, OH",28.17,22.59
"Medina, OH",21.42,15.3
"Meigs, OH",28.5,22.54
"Mercer, OH",22.58,17.6
"Miami, OH",24.46,18.5
"Monroe, OH",25.84,19.78
"Montgomery, OH",24.43,17.74
"Morgan, OH",28.48,22.37
"Morrow, OH",24.51,19.36
"Muskingum, OH",27.38,21.81
"Noble, OH",30.68,24.41
"Ottawa, OH",24.02,18.75
"Paulding, OH",24.36,18.58
"Perry, OH",27.97,22.45
"Pickaway, OH",25.88,20.39
"Pike, OH",30.08,23.92
"Portage, OH",25.02,18.43
"Preble, OH",27.3,21.36
"Putnam, OH",20.06,15.07
"Richland, OH",25.85,20.67
"Ross, OH",28.48,22.24
"Sandusky, OH",25.42,19.67
"Scioto, OH",27.99,22.2
"Seneca, OH",25.33,19.52
"Shelby, OH",24.67,19.16
"Stark, OH",25.74,19.13
"Summit, OH",24.0,17.08
"Trumbull, OH",28.56,22.3
"Tuscarawas, OH",26.23,20.11
"Union, OH",21.21,15.77
"Van Wert, OH",24.1,18.68
"Vinton, OH",29.32,23.31
"Warren, OH",18.98,13.47
"Washington, OH",25.44,19.85
"Wayne, OH",25.2,18.77
"Williams, OH",25.73,20.47
"Wood, OH",20.32,15.25
"Wyandot, OH",25.28,20.09
"Adair, OK",33.53,24.26
"Alfalfa, OK",24.44,18.12
"Atoka, OK",27.58,20.84
"Beaver, OK",22.21,16.03
"Beckham, OK",27.46,21.48
"Blaine, OK",26.02,19.32
"Bryan, OK",26.11,19.31
"Caddo, OK",30.43,22.18
"Canadian, OK",22.23,16.41
"Carter, OK",27.65,21.07
"Cherokee, OK",27.76,19.67
"Choctaw, OK",28.86,21.66
"Cimarron, OK",22.55,16.38
"Cleveland, OK",21.47,15.43
"Coal, OK",29.45,22.65
"Comanche, OK",26.46,19.49
"Cotton, OK",27.47,21.03
"Craig, OK",30.22,23.1
"Creek, OK",29.94,22.16
"Custer, OK",22.8,16.71
"Delaware, OK",29.4,22.0
"Dewey, OK",23.06,17.17
"Ellis, OK",20.46,15.14
"Garfield, OK",24.13,18.46
"Garvin, OK",27.57,21.11
"Grady, OK",27.56,21.11
"Grant, OK",23.37,17.65
"Greer, OK",27.33,21.09
"Harmon, OK",23.89,17.25
"Harper, OK",22.37,16.75
"Haskell, OK",29.93,23.05
"Hughes, OK",30.71,23.78
"Jackson, OK",22.94,16.92
"Jefferson, OK",28.08,21.45
"Johnston, OK",27.9,20.48
"Kay, OK",27.54,21.15
"Kingfisher, OK",23.5,17.17
"Kiowa, OK",27.04,20.48
"Latimer, OK",28.37,21.64
"Le Flore, OK",29.92,22.82
"Lincoln, OK",29.5,21.62
"Logan, OK",23.36,16.82
"Love, OK",25.02,18.66
"McClain, OK",23.99,17.95
"McCurtain, OK",28.87,21.41
"McIntosh, OK",29.86,22.67
"Major, OK",23.46,17.75
"Marshall, OK",26.82,19.78
"Mayes, OK",29.79,22.75
"Murray, OK",28.57,21.87
"Muskogee, OK",29.76,22.29
"Noble, OK",25.09,18.8
"Nowata, OK",30.16,23.0
"Okfuskee, OK",31.99,23.75
"Oklahoma, OK",23.85,16.78
"Okmulgee, OK",30.53,22.89
"Osage, OK",28.03,20.05
"Ottawa, OK",30.94,23.78
"Pawnee, OK",28.56,20.79
"Payne, OK",21.05,14.59
"Pittsburg, OK",28.38,22.24
"Pontotoc, OK",24.61,17.79
"Pottawatomie, OK",29.31,21.92
"Pushmataha, OK",30.15,23.3
"Roger Mills, OK",23.38,17.46
"Rogers, OK",23.85,17.55
"Seminole, OK",30.14,22.95
"Sequoyah, OK",32.02,24.13
"Stephens, OK",27.79,21.42
"Texas, OK",21.04,14.25
"Tillman, OK",25.28,18.63
"Tulsa, OK",23.91,16.64
"Wagoner, OK",24.98,18.97
"Washington, OK",25.95,18.79
"Washita, OK",25.38,19.42
"Woods, OK",22.04,16.58
"Woodward, OK",25.02,19.79
"Baker, OR",24.33,18.63
"Benton, OR",15.05,9.46
"Clackamas, OR",17.61,12.27
"Clatsop, OR",23.64,16.87
"Columbia, OR",24.29,18.16
"Coos, OR",28.13,20.64
"Crook, OR",24.38,18.07
"Curry, OR",25.88,19.01
"Deschutes, OR",18.67,12.77
"Douglas, OR",26.53,20.11
"Gilliam, OR",23.5,17.32
"Grant, OR",23.16,17.06
"Harney, OR",25.1,18.69
"Hood River, OR",19.25,13.02
"Jackson, OR",22.04,16.58
"Jefferson, OR",24.15,16.31
"Josephine, OR",24.96,19.08
"Klamath, OR",23.82,17.49
"Lake, OR",23.53,16.85
"Lane, OR",21.19,14.72
"Lincoln, OR",23.72,17.09
"Linn, OR",23.11,16.5
"Malheur, OR",23.85,17.16
"Marion, OR",20.32,14.05
"Morrow, OR",24.48,17.85
"Multnomah, OR",19.25,12.98
"Polk, OR",18.87,13.25
"Sherman, OR",23.98,17.64
"Tillamook, OR",22.21,16.15
"Umatilla, OR",24.39,18.06
"Union, OR",22.84,17.41
"Wallowa, OR",22.73,16.46
"Wasco, OR",22.8,16.46
"Washington, OR",14.66,9.85
"Wheeler, OR",22.94,16.86
"Yamhill, OR",18.45,12.97
"Adams, PA",21.54,15.83
"Allegheny, PA",23.64,17.0
"Armstrong, PA",26.0,20.29
"Beaver, PA",25.42,19.23
"Bedford, PA",24.26,18.63
"Berks, PA",22.3,16.35
"Blair, PA",23.62,18.02
"Bradford, PA",23.59,18.46
"Bucks, PA",19.32,14.42
"Butler, PA",21.08,15.64
"Cambria, PA",23.21,17.57
"Cameron, PA",26.26,20.35
"Carbon, PA",26.47,19.69
"Centre, PA",15.39,10.77
"Chester, PA",14.68,10.36
"Clarion, PA",23.76,18.32
"Clearfield, PA",24.09,18.44
"Clinton, PA",23.1,17.74
"Columbia, PA",22.54,16.91
"Crawford, PA",25.3,19.78
"Cumberland, PA",17.79,12.58
"Dauphin, PA",20.31,14.71
"Delaware, PA",20.09,14.4
"Elk, PA",25.79,19.99
"Erie, PA",25.14,18.8
"Fayette, PA",27.06,21.52
"Forest, PA",30.17,22.75
"Franklin, PA",22.33,16.81
"Fulton, PA",23.82,17.89
"Greene, PA",24.47,18.97
"Huntingdon, PA",23.8,17.87
"Indiana, PA",20.38,15.27
"Jefferson, PA",25.33,19.9
"Juniata, PA",23.92,18.94
"Lackawanna, PA",23.38,17.34
"Lancaster, PA",21.34,16.13
"Lawrence, PA",24.76,18.68
"Lebanon, PA",22.94,17.63
"Lehigh, PA",21.45,15.14
"Luzerne, PA",24.41,18.09
"Lycoming, PA",22.34,17.22
"McKean, PA",27.26,20.91
"Mercer, PA",25.22,19.19
"Mifflin, PA",25.16,20.36
"Monroe, PA",22.28,15.79
"Montgomery, PA",16.71,11.78
"Montour, PA",22.84,16.91
"Northampton, PA",22.53,16.81
"Northumberland, PA",24.87,19.41
"Perry, PA",22.63,17.45
"Philadelphia, PA",24.88,16.69
"Pike, PA",23.9,17.98
"Potter, PA",24.77,19.05
"Schuylkill, PA",26.42,20.12
"Snyder, PA",22.35,17.46
"Somerset, PA",25.71,19.56
"Sullivan, PA",23.71,17.77
"Susquehanna, PA",24.65,19.0
"Tioga, PA",22.48,17.58
"Union, PA",21.71,15.99
"Venango, PA",27.32,21.47
"Warren, PA",26.27,20.12
"Washington, PA",23.74,17.91
"Wayne, PA",25.32,19.14
"Westmoreland, PA",22.2,16.66
"Wyoming, PA",23.54,17.59
"York, PA",20.78,15.78
"Bristol, RI",17.08,12.27
"Kent, RI",20.73,14.88
"Newport, RI",17.24,11.96
"Providence, RI",20.63,14.67
"Washington, RI",16.6,11.58
"Abbeville, SC",25.39,18.09
"Aiken, SC",22.38,15.9
"Allendale, SC",25.28,16.63
"Anderson, SC",23.88,17.4
"Bamberg, SC",23.78,15.5
"Barnwell, SC",25.66,18.39
"Beaufort, SC",18.66,12.32
"Berkeley, SC",22.99,16.63
"Calhoun, SC",22.2,15.1
"Charleston, SC",19.13,12.22
"Cherokee, SC",28.09,21.11
"Chester, SC",27.03,19.47
"Chesterfield, SC",25.52,18.59
"Clarendon, SC",23.73,16.64
"Colleton, SC",25.42,17.37
"Darlington, SC",23.39,16.36
"Dillon, SC",27.63,18.89
"Dorchester, SC",21.46,14.83
"Edgefield, SC",23.0,16.2
"Fairfield, SC",24.78,16.43
"Florence, SC",22.68,15.5
"Georgetown, SC",21.46,15.28
"Greenville, SC",19.98,14.07
"Greenwood, SC",24.92,17.57
"Hampton, SC",24.84,17.18
"Horry, SC",25.04,17.31
"Jasper, SC",25.12,17.12
"Kershaw, SC",22.9,16.67
"Lancaster, SC",24.34,17.98
"Laurens, SC",26.45,18.98
"Lee, SC",27.2,18.76
"Lexington, SC",22.25,15.42
"McCormick, SC",23.51,15.6
"Marion, SC",24.67,15.95
"Marlboro, SC",26.88,18.94
"Newberry, SC",25.54,17.34
"Oconee, SC",22.83,16.35
"Orangeburg, SC",23.73,15.59
"Pickens, SC",21.89,15.47
"Richland, SC",19.2,12.64
"Saluda, SC",23.74,16.62
"Spartanburg, SC",25.04,17.95
"Sumter, SC",23.71,16.83
"Union, SC",27.49,19.81
"Williamsburg, SC",23.2,15.32
"York, SC",21.4,15.41
"Aurora, SD",21.84,16.43
"Beadle, SD",22.09,16.95
"Bennett, SD",29.83,20.11
"Bon Homme, SD",23.14,16.95
"Brookings, SD",16.97,11.91
"Brown, SD",20.31,14.65
"Brule, SD",21.86,15.81
"Buffalo, SD",35.67,24.12
"Butte, SD",24.99,18.73
"Campbell, SD",20.13,14.85
"Charles Mix, SD",26.99,19.13
"Clark, SD",22.37,16.66
"Clay, SD",16.89,11.36
"Codington, SD",23.25,17.72
"Corson, SD",30.83,20.76
"Custer, SD",19.57,13.68
"Davison, SD",19.17,14.57
"Day, SD",24.4,17.82
"Deuel, SD",21.15,15.52
"Dewey, SD",33.69,23.02
"Douglas, SD",20.66,15.55
"Edmunds, SD",19.7,14.07
"Fall River, SD",23.78,17.44
"Faulk, SD",22.82,17.08
"Grant, SD",24.79,19.16
"Gregory, SD",22.12,16.21
"Haakon, SD",19.69,14.1
"Hamlin, SD",21.73,16.15
"Hand, SD",20.96,15.6
"Hanson, SD",20.57,15.21
"Harding, SD",17.74,12.41
"Hughes, SD",18.1,12.99
"Hutchinson, SD",19.14,13.89
"Hyde, SD",23.11,17.19
"Jackson, SD",27.47,18.56
"Jerauld, SD",22.5,16.86
"Jones, SD",22.55,16.79
"Kingsbury, SD",19.53,14.32
"Lake, SD",19.15,13.81
"Lawrence, SD",21.68,14.81
"Lincoln, SD",16.03,11.33
"Lyman, SD",25.6,17.53
"McCook, SD",20.22,14.61
"McPherson, SD",21.52,15.81
"Marshall, SD",22.17,15.67
"Meade, SD",22.23,16.32
"Mellette, SD",29.43,19.92
"Miner, SD",20.5,14.95
"Minnehaha, SD",21.28,15.49
"Moody, SD",21.75,15.29
"Pennington, SD",23.05,16.5
"Perkins, SD",20.7,15.1
"Potter, SD",21.62,15.92
"Roberts, SD",26.81,18.75
"Sanborn, SD",21.26,16.04
"Shannon, SD",36.0,23.68
"Spink, SD",20.9,15.35
"Stanley, SD",22.05,16.3
"Sully, SD",18.72,13.39
"Todd, SD",34.36,22.59
"Tripp, SD",23.6,17.39
"Turner, SD",20.72,15.1
"Union, SD",18.99,13.23
"Walworth, SD",23.29,17.07
"Yankton, SD",21.47,16.07
"Ziebach, SD",31.53,21.16
"Anderson, TN",24.8,19.47
"Bedford, TN",26.84,20.87
"Benton, TN",28.65,22.36
"Bledsoe, TN",29.66,23.72
"Blount, TN",23.76,18.54
"Bradley, TN",26.48,20.63
"Campbell, TN",32.09,26.26
"Cannon, TN",28.18,22.52
"Carroll, TN",26.85,20.67
"Carter, TN",29.17,23.07
"Cheatham, TN",26.0,20.14
"Chester, TN",25.68,19.17
"Claiborne, TN",28.54,22.7
"Clay, TN",25.65,19.6
"Cocke, TN",30.24,24.01
"Coffee, TN",26.3,20.24
"Crockett, TN",25.99,19.49
"Cumberland, TN",26.61,21.57
"Davidson, TN",20.86,14.82
"Decatur, TN",26.39,20.26
"DeKalb, TN",26.44,20.72
"Dickson, TN",27.74,21.79
"Dyer, TN",26.13,19.85
"Fayette, TN",22.27,16.14
"Fentress, TN",28.93,23.1
"Franklin, TN",26.38,19.88
"Gibson, TN",26.6,20.35
"Giles, TN",26.88,20.37
"Grainger, TN",29.25,22.95
"Greene, TN",27.7,21.53
"Grundy, TN",29.76,22.86
"Hamblen, TN",27.46,21.16
"Hamilton, TN",23.59,17.29
"Hancock, TN",30.63,23.76
"Hardeman, TN",27.81,20.3
"Hardin, TN",28.21,21.7
"Hawkins, TN",29.07,22.97
"Haywood, TN",26.04,18.91
"Henderson, TN",26.96,20.71
"Henry, TN",28.38,21.99
"Hickman, TN",29.81,22.95
"Houston, TN",28.94,22.52
"Humphreys, TN",28.02,21.55
"Jackson, TN",29.42,23.31
"Jefferson, TN",28.14,21.93
"Johnson, TN",29.57,23.28
"Knox, TN",19.94,14.73
"Lake, TN",31.6,23.77
"Lauderdale, TN",29.56,22.05
"Lawrence, TN",27.52,21.41
"Lewis, TN",29.99,23.61
"Lincoln, TN",27.14,20.99
"Loudon, TN",23.76,18.2
"McMinn, TN",27.66,21.47
"McNairy, TN",27.56,20.85
"Macon, TN",29.53,23.46
"Madison, TN",23.27,16.78
"Marion, TN",27.76,21.59
"Marshall, TN",27.26,21.15
"Maury, TN",27.07,20.37
"Meigs, TN",30.94,24.79
"Monroe, TN",29.27,22.81
"Montgomery, TN",23.92,17.78
"Moore, TN",26.33,20.02
"Morgan, TN",29.85,24.24
"Obion, TN",27.37,21.4
"Overton, TN",26.6,20.85
"Perry, TN",29.69,22.99
"Pickett, TN",26.46,20.41
"Polk, TN",29.45,22.67
"Putnam, TN",24.41,19.1
"Rhea, TN",29.0,23.39
"Roane, TN",25.89,20.63
"Robertson, TN",27.31,20.67
"Rutherford, TN",20.73,15.51
"Scott, TN",30.77,24.46
"Sequatchie, TN",28.07,22.04
"Sevier, TN",25.58,19.61
"Shelby, TN",21.78,14.55
"Smith, TN",26.81,21.28
"Stewart, TN",27.55,21.52
"Sullivan, TN",28.18,21.91
"Sumner, TN",24.79,18.69
"Tipton, TN",25.73,19.67
"Trousdale, TN",28.13,21.6
"Unicoi, TN",30.18,24.01
"Union, TN",30.03,24.22
