county_state,cig_total_2012,cig_daily_2012
"Van Buren, TN",28.9,23.1
"Warren, TN",27.44,21.18
"Washington, TN",24.44,18.64
"Wayne, TN",29.34,22.8
"Weakley, TN",25.11,19.1
"White, TN",28.16,22.58
"Williamson, TN",14.46,9.95
"Wilson, TN",22.37,17.03
"Anderson, TX",28.01,19.83
"Andrews, TX",22.05,15.4
"Angelina, TX",24.56,17.51
"Aransas, TX",21.65,15.12
"Archer, TX",21.37,15.57
"Armstrong, TX",18.52,12.87
"Atascosa, TX",19.74,12.59
"Austin, TX",19.66,13.82
"Bailey, TX",20.56,13.71
"Bandera, TX",20.04,13.95
"Bastrop, TX",20.25,13.93
"Baylor, TX",21.13,14.99
"Bee, TX",22.7,15.23
"Bell, TX",19.7,13.51
"Bexar, TX",18.05,11.4
"Blanco, TX",19.08,12.78
"Borden, TX",16.97,11.57
"Bosque, TX",22.69,16.45
"Bowie, TX",23.75,16.57
"Brazoria, TX",18.08,12.15
"Brazos, TX",16.31,10.71
"Brewster, TX",15.12,9.5
"Briscoe, TX",20.96,14.49
"Brooks, TX",17.79,10.39
"Brown, TX",23.57,17.27
"Burleson, TX",23.52,17.09
"Burnet, TX",21.64,15.5
"Caldwell, TX",21.64,14.48
"Calhoun, TX",19.98,13.22
"Callahan, TX",23.43,17.41
"Cameron, TX",15.2,8.13
"Camp, TX",23.95,16.81
"Carson, TX",20.03,14.2
"Cass, TX",24.93,18.03
"Castro, TX",19.97,13.0
"Chambers, TX",21.44,14.73
"Cherokee, TX",25.18,18.02
"Childress, TX",22.14,15.71
"Clay, TX",21.99,16.27
"Cochran, TX",20.07,13.2
"Coke, TX",21.56,15.12
"Coleman, TX",23.95,17.89
"Collin, TX",13.26,8.82
"Collingsworth, TX",19.79,13.46
"Colorado, TX",20.91,14.45
"Comal, TX",17.6,11.44
"Comanche, TX",22.01,15.34
"Concho, TX",22.41,14.72
"Cooke, TX",22.66,16.99
"Coryell, TX",22.4,16.23
"Cottle, TX",18.57,12.52
"Crane, TX",20.8,14.05
"Crockett, TX",22.03,15.05
"Crosby, TX",19.74,12.71
"Culberson, TX",17.89,11.12
"Dallam, TX",24.08,17.51
"Dallas, TX",19.04,12.87
"Dawson, TX",23.62,16.12
"Deaf Smith, TX",19.44,12.55
"Delta, TX",23.59,17.08
"Denton, TX",15.18,10.56
"DeWitt, TX",22.91,16.04
"Dickens, TX",23.3,16.1
"Dimmit, TX",17.86,10.79
"Donley, TX",21.82,15.5
"Duval, TX",18.35,10.74
"Eastland, TX",24.22,17.55
"Ector, TX",23.66,16.39
"Edwards, TX",17.96,11.24
"Ellis, TX",20.55,14.61
"El Paso, TX",17.85,10.78
"Erath, TX",21.18,14.84
"Falls, TX",24.62,17.1
"Fannin, TX",25.06,18.53
"Fayette, TX",20.29,14.59
"Fisher, TX",20.52,14.33
"Floyd, TX",18.71,12.1
"Foard, TX",21.57,15.04
"Fort Bend, TX",13.92,8.73
"Franklin, TX",20.79,14.68
"Freestone, TX",26.07,18.47
"Frio, TX",20.52,12.86
"Gaines, TX",22.92,16.42
"Galveston, TX",18.8,12.54
"Garza, TX",23.91,16.58
"Gillespie, TX",19.14,13.34
"Glasscock, TX",17.96,12.31
"Goliad, TX",19.77,13.36
"Gonzales, TX",20.49,13.72
"Gray, TX",24.22,17.77
"Grayson, TX",23.59,17.51
"Gregg, TX",23.54,16.82
"Grimes, TX",24.89,17.8
"Guadalupe, TX",18.81,12.39
"Hale, TX",21.51,14.19
"Hall, TX",21.22,14.42
"Hamilton, TX",23.36,17.23
"Hansford, TX",19.71,13.31
"Hardeman, TX",22.32,15.76
"Hardin, TX",24.86,18.34
"Harris, TX",17.68,11.21
"Harrison, TX",23.55,16.64
"Hartley, TX",21.18,15.01
"Haskell, TX",21.81,15.62
"Hays, TX",15.94,9.91
"Hemphill, TX",22.29,16.19
"Henderson, TX",26.8,19.76
"Hidalgo, TX",14.8,8.09
"Hill, TX",22.67,16.29
"Hockley, TX",19.25,12.97
"Hood, TX",22.51,16.52
"Hopkins, TX",23.67,17.58
"Houston, TX",25.58,17.69
"Howard, TX",24.78,17.55
"Hudspeth, TX",19.75,11.87
"Hunt, TX",23.53,17.46
"Hutchinson, TX",24.2,18.16
"Irion, TX",22.93,16.46
"Jack, TX",25.93,19.33
"Jackson, TX",21.47,14.75
"Jasper, TX",25.65,18.42
"Jeff Davis, TX",16.85,10.79
"Jefferson, TX",23.81,16.06
"Jim Hogg, TX",17.51,10.27
"Jim Wells, TX",18.53,11.4
"Johnson, TX",23.13,17.14
"Jones, TX",26.27,18.83
"Karnes, TX",21.85,14.56
"Kaufman, TX",22.33,16.28
"Kendall, TX",15.43,10.03
"Kenedy, TX",14.31,8.23
"Kent, TX",18.4,12.89
"Kerr, TX",18.97,12.97
"Kimble, TX",21.88,15.63
"King, TX",18.58,12.81
"Kinney, TX",19.9,13.19
"Kleberg, TX",16.44,9.99
"Knox, TX",21.54,14.89
"Lamar, TX",24.19,17.65
"Lamb, TX",20.71,13.65
"Lampasas, TX",21.22,15.21
"La Salle, TX",21.95,13.48
"Lavaca, TX",21.57,15.42
"Lee, TX",21.45,15.47
"Leon, TX",24.46,17.37
"Liberty, TX",26.26,18.74
"Limestone, TX",23.98,16.92
"Lipscomb, TX",19.27,13.16
"Live Oak, TX",21.2,14.28
"Llano, TX",24.21,17.88
"Loving, TX",27.19,20.62
"Lubbock, TX",20.36,13.66
"Lynn, TX",20.39,13.67
"McCulloch, TX",22.0,15.61
"McLennan, TX",20.7,14.4
"McMullen, TX",25.15,17.42
"Madison, TX",25.42,17.95
"Marion, TX",25.5,18.5
"Martin, TX",21.42,14.55
"Mason, TX",17.4,11.69
"Matagorda, TX",20.83,14.12
"Maverick, TX",16.1,9.24
"Medina, TX",18.38,11.89
"Menard, TX",20.86,13.97
"Midland, TX",19.6,13.69
"Milam, TX",22.5,16.02
"Mills, TX",20.81,14.84
"Mitchell, TX",23.74,16.58
"Montague, TX",23.82,18.03
"Montgomery, TX",18.98,13.14
"Moore, TX",20.57,14.17
"Morris, TX",23.92,16.64
"Motley, TX",19.96,13.92
"Nacogdoches, TX",20.62,14.34
"Navarro, TX",23.54,16.35
"Newton, TX",26.92,19.55
"Nolan, TX",22.42,16.04
"Nueces, TX",19.26,12.26
"Ochiltree, TX",21.71,15.16
"Oldham, TX",19.04,13.24
"Orange, TX",26.81,20.2
"Palo Pinto, TX",25.08,18.39
"Panola, TX",25.94,19.44
"Parker, TX",21.18,15.24
"Parmer, TX",19.78,12.99
"Pecos, TX",20.38,13.35
"Polk, TX",26.8,19.19
"Potter, TX",23.51,16.49
"Presidio, TX",14.7,8.41
"Rains, TX",25.94,19.82
"Randall, TX",18.59,12.85
"Reagan, TX",21.19,14.64
"Real, TX",19.6,13.28
"Red River, TX",26.27,18.89
"Reeves, TX",21.05,13.7
"Refugio, TX",20.77,13.87
"Roberts, TX",15.75,10.48
"Robertson, TX",23.03,15.89
"Rockwall, TX",16.46,11.61
"Runnels, TX",22.08,15.66
"Rusk, TX",24.24,17.48
"Sabine, TX",26.15,18.83
"San Augustine, TX",27.94,20.02
"San Jacinto, TX",25.8,18.59
"San Patricio, TX",20.58,13.71
"San Saba, TX",23.17,16.38
"Schleicher, TX",17.35,11.19
"Scurry, TX",22.19,15.99
"Shackelford, TX",20.68,14.75
"Shelby, TX",23.62,16.84
"Sherman, TX",17.0,11.24
"Smith, TX",20.74,14.77
"Somervell, TX",18.02,12.03
"Starr, TX",17.64,9.98
"Stephens, TX",24.77,18.18
"Sterling, TX",17.79,11.82
"Stonewall, TX",17.35,11.85
"Sutton, TX",19.05,12.83
"Swisher, TX",20.5,13.73
"Tarrant, TX",18.82,13.04
"Taylor, TX",20.78,14.89
"Terrell, TX",19.1,12.71
"Terry, TX",23.24,15.81
"Throckmorton, TX",22.01,15.95
"Titus, TX",22.23,14.99
"Tom Green, TX",20.65,14.26
"Travis, TX",14.94,9.22
"Trinity, TX",27.58,20.42
"Tyler, TX",27.23,19.84
"Upshur, TX",24.52,18.25
"Upton, TX",19.25,12.68
"Uvalde, TX",18.02,11.3
"Val Verde, TX",17.81,11.14
"Van Zandt, TX",25.92,20.0
"Victoria, TX",21.1,14.17
"Walker, TX",23.1,16.08
"Waller, TX",19.54,13.03
"Ward, TX",23.15,16.11
"Washington, TX",19.9,13.93
"Webb, TX",15.64,8.66
"Wharton, TX",21.62,14.78
"Wheeler, TX",19.78,13.85
"Wichita, TX",22.84,16.63
"Wilbarger, TX",23.12,16.7
"Willacy, TX",17.69,9.81
"Williamson, TX",14.82,9.9
"Wilson, TX",18.94,12.65
"Winkler, TX",24.77,17.64
"Wise, TX",22.12,16.43
"Wood, TX",24.16,18.23
"Yoakum, TX",19.04,12.83
"Young, TX",24.82,18.49
"Zapata, TX",17.45,10.1
"Zavala, TX",17.46,10.12
"Beaver, UT",21.03,15.46
"Box Elder, UT",14.2,10.54
"Cache, UT",10.89,8.09
"Carbon, UT",17.56,13.65
"Daggett, UT",19.18,14.18
"Davis, UT",9.99,7.16
"Duchesne, UT",15.78,11.92
"Emery, UT",19.65,15.07
"Garfield, UT",19.17,13.61
"Grand, UT",20.54,15.18
"Iron, UT",15.93,11.38
"Juab, UT",16.79,12.81
"Kane, UT",15.81,11.06
"Millard, UT",19.22,13.89
"Morgan, UT",11.8,8.49
"Piute, UT",20.23,14.53
"Rich, UT",16.98,12.59
"Salt Lake, UT",13.0,9.11
"San Juan, UT",23.91,16.33
"Sanpete, UT",15.54,11.61
"Sevier, UT",19.83,14.79
"Summit, UT",10.67,6.97
"Tooele, UT",15.57,11.17
"Uintah, UT",20.98,16.11
"Utah, UT",7.81,5.75
"Wasatch, UT",9.4,7.0
"Washington, UT",15.47,11.54
"Wayne, UT",17.48,12.21
"Weber, UT",15.7,11.73
"Addison, VT",16.7,11.79
"Bennington, VT",19.76,13.81
"Caledonia, VT",19.47,14.15
"Chittenden, VT",13.78,10.0
"Essex, VT",20.99,15.8
"Franklin, VT",20.57,15.74
"Grand Isle, VT",16.41,12.22
"Lamoille, VT",16.67,11.83
"Orange, VT",18.55,13.36
"Orleans, VT",22.75,16.92
"Rutland, VT",20.14,14.42
"Washington, VT",16.97,11.97
"Windham, VT",17.93,12.44
"Windsor, VT",17.6,12.23
"Accomack, VA",22.99,16.62
"Albemarle, VA",14.31,9.26
"Alleghany, VA",24.78,19.38
"Amelia, VA",24.59,18.4
"Amherst, VA",25.49,19.58
"Appomattox, VA",24.46,18.44
"Arlington, VA",10.96,6.39
"Augusta County/Waynesboro, VA",24.46,18.88
"Bath, VA",25.26,19.37
"Bedford County/Bedford, VA",23.48,18.12
"Bland, VA",26.76,20.65
"Botetourt, VA",22.11,16.79
"Brunswick, VA",28.18,19.48
"Buchanan, VA",30.06,23.18
"Buckingham, VA",25.88,18.83
"Campbell, VA",25.13,19.77
"Caroline, VA",23.89,17.37
"Carroll, VA",26.3,20.52
"Charles City, VA",26.25,18.22
"Charlotte, VA",25.75,18.63
"Chesterfield, VA",18.88,13.26
"Clarke, VA",18.76,13.4
"Craig, VA",24.68,19.15
"Culpeper, VA",21.68,16.15
"Cumberland, VA",24.03,17.49
"Dickenson, VA",30.34,22.79
"Dinwiddie, VA",25.79,19.42
"Essex, VA",24.66,17.7
"Fairfax County/Fairfax, VA",12.85,7.59
"Fauquier, VA",19.15,13.93
"Floyd, VA",23.33,17.73
"Fluvanna, VA",20.95,15.27
"Franklin, VA",23.79,17.69
"Frederick, VA",22.05,16.39
"Giles, VA",26.16,20.4
"Gloucester, VA",22.29,17.0
"Goochland, VA",18.68,12.74
"Grayson, VA",26.7,21.04
"Greene, VA",23.02,17.46
"Greensville, VA",27.89,19.94
"Halifax, VA",26.37,19.03
"Hanover, VA",19.62,13.87
"Henrico, VA",18.74,12.38
"Henry, VA",27.24,20.01
"Highland, VA",22.87,17.2
"Isle of Wight, VA",20.41,14.94
"James City, VA",16.5,11.48
"King and Queen, VA",24.88,18.33
"King George, VA",18.33,13.02
"King William, VA",23.92,17.43
"Lancaster, VA",21.86,15.19
"Lee, VA",27.88,21.3
"Loudoun, VA",11.74,7.36
"Louisa, VA",24.17,17.72
"Lunenburg, VA",28.4,20.18
"Madison, VA",24.05,18.07
"Mathews, VA",21.21,15.54
"Mecklenburg, VA",28.09,19.78
"Middlesex, VA",20.54,14.37
"Montgomery, VA",17.48,12.53
"Nelson, VA",22.69,16.56
"New Kent, VA",23.09,16.49
"Northampton, VA",23.53,15.74
"Northumberland, VA",23.01,16.19
"Nottoway, VA",28.75,21.09
"Orange, VA",22.82,16.94
"Page, VA",27.75,22.2
"Patrick, VA",27.83,21.33
"Pittsylvania, VA",25.76,19.09
"Powhatan, VA",21.76,15.65
"Prince Edward, VA",23.53,16.41
"Prince George, VA",23.25,16.7
"Prince William County/Manassas Park, VA",18.34,12.41
"Pulaski, VA",26.42,20.65
"Rappahannock, VA",20.11,14.6
"Richmond, VA",27.69,20.13
"Roanoke, VA",20.76,15.44
"Rockbridge, VA",23.51,17.63
"Rockingham, VA",21.72,16.69
"Russell, VA",28.04,21.46
"Scott, VA",28.0,21.4
"Shenandoah, VA",24.46,19.1
"Smyth, VA",26.43,20.74
"Southampton County/Franklin, VA",25.57,18.64
"Spotsylvania, VA",18.74,13.61
"Stafford, VA",16.92,12.13
"Surry, VA",23.12,16.28
"Sussex, VA",27.38,19.39
"Tazewell, VA",26.42,20.78
"Warren, VA",24.33,18.87
"Washington, VA",23.22,17.5
"Westmoreland, VA",25.32,18.68
"Wise, VA",29.46,22.81
"Wythe, VA",26.03,20.42
"York, VA",16.27,11.26
"Alexandria, VA",13.63,8.18
"Bristol, VA",29.07,23.26
"Buena Vista, VA",31.65,25.5
"Charlottesville, VA",19.76,12.69
"Chesapeake, VA",20.35,14.29
"Colonial Heights, VA",27.08,20.96
"Covington, VA",30.17,24.47
"Danville, VA",27.12,19.37
"Emporia, VA",27.12,19.61
"Falls Church, VA",10.02,5.39
"Fredericksburg, VA",18.65,13.27
"Galax, VA",26.4,20.75
"Hampton, VA",22.63,14.97
"Harrisonburg, VA",18.25,13.12
"Hopewell, VA",29.96,23.0
"Lexington, VA",18.08,12.37
"Lynchburg, VA",21.96,16.34
"Manassas, VA",21.37,14.65
"Martinsville, VA",24.31,16.35
"Newport News, VA",22.87,16.09
"Norfolk, VA",22.71,15.07
"Norton, VA",29.21,23.4
"Petersburg, VA",28.57,19.76
"Poquoson, VA",19.12,13.66
"Portsmouth, VA",25.58,17.66
"Radford, VA",21.5,16.05
"Richmond, VA",22.35,14.88
"Roanoke, VA",27.68,20.2
"Salem, VA",24.72,18.34
"Staunton, VA",21.14,15.72
"Suffolk, VA",22.1,15.72
"Virginia Beach, VA",19.87,13.53
"Williamsburg, VA",15.7,10.6
"Winchester, VA",25.23,18.22
"Adams, WA",16.67,11.39
"Asotin, WA",25.17,19.14
"Benton, WA",17.86,12.91
"Chelan, WA",18.97,13.24
"Clallam, WA",23.97,16.67
"Clark, WA",18.86,13.28
"Columbia, WA",21.38,15.76
"Cowlitz, WA",24.55,17.5
"Douglas, WA",19.53,13.95
"Ferry, WA",25.04,17.46
"Franklin, WA",19.28,13.52
"Garfield, WA",17.19,11.96
"Grant, WA",19.34,13.68
"Grays Harbor, WA",26.54,19.64
"Island, WA",18.26,12.88
"Jefferson, WA",19.84,13.73
"King, WA",14.15,9.1
"Kitsap, WA",19.76,13.9
"Kittitas, WA",16.75,11.17
"Klickitat, WA",21.5,15.26
"Lewis, WA",23.92,17.51
"Lincoln, WA",19.71,14.44
"Mason, WA",24.36,17.61
"Okanogan, WA",21.9,15.08
"Pacific, WA",25.03,17.63
"Pend Oreille, WA",23.22,17.25
"Pierce, WA",20.63,14.56
"San Juan, WA",16.33,10.32
"Skagit, WA",20.51,14.51
"Skamania, WA",19.52,13.28
"Snohomish, WA",19.32,14.04
"Spokane, WA",20.38,15.09
"Stevens, WA",21.46,15.64
"Thurston, WA",18.97,13.23
"Wahkiakum, WA",23.68,16.46
"Walla Walla, WA",18.43,13.08
"Whatcom, WA",17.94,12.46
"Whitman, WA",12.26,8.03
"Yakima, WA",19.77,13.54
"Barbour, WV",27.77,22.69
"Berkeley, WV",26.13,20.6
"Boone, WV",32.3,27.6
"Braxton, WV",29.94,24.37
"Brooke, WV",29.76,24.62
"Cabell, WV",26.92,21.76
"Calhoun, WV",31.8,25.95
"Clay, WV",32.41,26.69
"Doddridge, WV",30.7,24.72
"Fayette, WV",31.36,26.48
"Gilmer, WV",28.77,22.19
"Grant, WV",30.59,25.25
"Greenbrier, WV",27.33,22.06
"Hampshire, WV",32.68,26.69
"Hancock, WV",31.36,25.46
"Hardy, WV",31.83,26.14
"Harrison, WV",25.76,20.8
"Jackson, WV",29.03,23.48
"Jefferson, WV",22.47,16.56
"Kanawha, WV",26.47,21.37
"Lewis, WV",27.56,22.47
"Lincoln, WV",31.36,26.46
"Logan, WV",32.03,26.83
"McDowell, WV",33.87,28.0
"Marion, WV",25.64,20.96
"Marshall, WV",28.49,23.07
"Mason, WV",32.36,27.32
"Mercer, WV",28.86,23.16
"Mineral, WV",29.54,23.74
"Mingo, WV",31.95,25.77
"Monongalia, WV",21.0,16.26
"Monroe, WV",27.96,22.62
"Morgan, WV",27.83,21.89
"Nicholas, WV",28.75,23.43
"Ohio, WV",26.28,21.15
"Pendleton, WV",27.89,22.44
"Pleasants, WV",30.24,24.63
"Pocahontas, WV",26.8,21.11
"Preston, WV",28.82,23.86
"Putnam, WV",24.17,19.85
"Raleigh, WV",30.32,24.52
"Randolph, WV",27.72,22.25
"Ritchie, WV",30.54,24.49
"Roane, WV",33.58,27.78
"Summers, WV",28.44,22.87
"Taylor, WV",26.54,22.12
"Tucker, WV",26.24,20.82
"Tyler, WV",29.52,23.88
"Upshur, WV",26.37,21.45
"Wayne, WV",31.17,25.45
"Webster, WV",30.78,25.31
"Wetzel, WV",28.3,23.11
"Wirt, WV",30.25,24.15
"Wood, WV",29.2,23.29
"Wyoming, WV",31.72,26.42
"Adams, WI",25.97,19.07
"Ashland, WI",23.61,17.25
"Barron, WI",23.51,17.41
"Bayfield, WI",20.99,14.96
"Brown, WI",19.1,13.92
"Buffalo, WI",21.99,16.29
"Burnett, WI",22.96,16.5
"Calumet, WI",17.72,13.22
"Chippewa, WI",22.81,16.81
"Clark, WI",23.97,18.4
"Columbia, WI",23.18,16.59
"Crawford, WI",23.38,17.82
"Dane, WI",15.73,10.09
"Dodge, WI",23.58,17.53
"Door, WI",19.07,13.51
"Douglas, WI",23.35,17.54
"Dunn, WI",20.15,14.56
"Eau Claire, WI",19.23,14.04
"Florence, WI",23.87,18.06
"Fond du Lac, WI",20.84,16.02
"Forest, WI",27.72,20.6
"Grant, WI",20.95,15.45
"Green, WI",21.27,15.87
"Green Lake, WI",24.01,17.99
"Iowa, WI",20.23,14.38
"Iron, WI",23.55,16.63
"Jackson, WI",25.17,19.33
"Jefferson, WI",21.27,15.35
"Juneau, WI",25.77,19.64
"Kenosha, WI",22.03,15.78
"Kewaunee, WI",21.92,16.67
"La Crosse, WI",20.48,15.3
"Lafayette, WI",21.03,15.43
"Langlade, WI",25.05,19.74
"Lincoln, WI",23.53,18.13
"Manitowoc, WI",20.92,16.01
"Marathon, WI",20.98,15.87
"Marinette, WI",25.5,19.71
"Marquette, WI",26.32,19.58
"Menominee, WI",33.68,22.61
"Milwaukee, WI",23.56,15.36
"Monroe, WI",24.91,19.53
"Oconto, WI",23.5,18.05
"Oneida, WI",22.38,16.29
"Outagamie, WI",19.32,13.97
"Ozaukee, WI",16.17,11.09
"Pepin, WI",21.35,15.85
"Pierce, WI",19.32,13.96
"Polk, WI",22.31,16.15
"Portage, WI",19.37,14.1
"Price, WI",23.81,17.42
"Racine, WI",22.38,15.84
"Richland, WI",23.36,17.55
"Rock, WI",22.95,17.17
"Rusk, WI",24.81,18.3
"St. Croix, WI",17.96,12.71
"Sauk, WI",23.01,16.67
"Sawyer, WI",24.48,17.43
"Shawano, WI",24.08,18.09
"Sheboygan, WI",20.25,15.49
"Taylor, WI",24.13,18.33
"Trempealeau, WI",22.58,16.95
"Vernon, WI",22.9,17.38
"Vilas, WI",24.53,16.68
"Walworth, WI",20.88,14.92
"Washburn, WI",22.13,16.44
"Washington, WI",19.3,14.06
"Waukesha, WI",17.25,11.71
"Waupaca, WI",23.22,17.31
"Waushara, WI",25.19,18.67
"Winnebago, WI",21.17,15.86
"Wood, WI",22.58,17.32
"Albany, WY",15.17,10.35
"Big Horn, WY",21.9,15.85
"Campbell, WY",24.35,18.67
"Carbon, WY",22.91,17.16
"Converse, WY",23.72,17.97
"Crook, WY",22.88,16.68
"Fremont, WY",23.68,16.9
"Goshen, WY",22.33,17.19
"Hot Springs, WY",23.1,17.44
"Johnson, WY",20.82,15.06
"Laramie, WY",22.08,16.54
"Lincoln, WY",18.11,12.84
"Natrona, WY",25.11,18.83
"Niobrara, WY",23.58,17.72
"Park, WY",19.18,13.44
"Platte, WY",23.07,17.64
"Sheridan, WY",22.5,16.68
"Sublette, WY",16.55,11.18
"Sweetwater, WY",22.91,17.37
"Teton, WY",13.25,8.08
"Uinta, WY",21.38,16.12
"Washakie, WY",22.05,16.07
"Weston, WY",24.97,18.72
