county_state,hd_deaths_per100k_over65
"Abbeville, SC",989.3
"Acadia, LA",1407.6
"Accomack, VA",1275.2
"Ada, ID",1004.3
"Adair, IA",888.0
"Adair, KY",1507.7
"Adair, MO",1145.0
"Adair, OK",1770.9
"Adams, IA",1291.3
"Adams, ID",755.3
"Adams, IL",969.2
"Adams, IN",983.3
"Adams, MS",1163.7
"Adams, ND",1075.3
"Adams, NE",1021.1
"Adams, OH",1334.7
"Adams, PA",1242.6
"Adams, WA",975.4
"Adams, WI",930.9
"Addison, VT",1032.6
"Aiken, SC",1025.9
"Aitkin, MN",879.1
"Alachua, FL",754.9
"Alamance, NC",1016.8
"Alameda, CA",723.3
"Alamosa, CO",1027.1
"Albany, NY",1032.3
"Albany, WY",887.4
"Albemarle, VA",723.2
"Alcona, MI",1305.9
"Alcorn, MS",1516.1
"Alexander, IL",1209.5
"Alexander, NC",967.5
"Alfalfa, OK",1198.2
"Alger, MI",1061.9
"Allamakee, IA",1276.8
"Allegan, MI",1053.7
"Allegany, MD",1254.7
"Allegany, NY",1131.0
"Alleghany, NC",944.3
"Alleghany, VA",1162.8
"Allegheny, PA",1190.2
"Allen, IN",1014.4
"Allen, KS",1140.8
"Allen, KY",1204.8
"Allen, LA",1393.9
"Allen, OH",1296.2
"Allendale, SC",1248.3
"Alpena, MI",1531.4
"Alpine, CA",910.8
"Amador, CA",959.4
"Amelia, VA",1143.7
"Amherst, VA",1056.1
"Amite, MS",1597.4
"Anderson, KS",1101.3
"Anderson, KY",1058.5
"Anderson, SC",1082.5
"Anderson, TN",1185.1
"Anderson, TX",1529.6
"Andrew, MO",1051.7
"Andrews, TX",1345.9
"Androscoggin, ME",1018.9
"Angelina, TX",1198.7
"Anne Arundel, MD",1024.5
"Anoka, MN",679.3
"Anson, NC",1100.1
"Antelope, NE",1060.6
"Antrim, MI",1020.1
"Apache, AZ",880.0
"Appanoose, IA",1124.8
"Appling, GA",1344.3
"Appomattox, VA",1156.7
"Aransas, TX",923.2
"Arapahoe, CO",765.3
"Archer, TX",1128.4
"Archuleta, CO",798.3
"Arenac, MI",1527.4
"Arkansas, AR",1370.3
"Arlington, VA",610.5
"Armstrong, PA",1171.1
"Armstrong, TX",1540.9
"Aroostook, ME",930.4
"Arthur, NE",872.8
"Ascension, LA",1098.4
"Ashe, NC",897.3
"Ashland, OH",1187.8
"Ashland, WI",1268.9
"Ashley, AR",1378.9
"Ashtabula, OH",1365.1
"Asotin, WA",1051.3
"Assumption, LA",1267.0
"Atascosa, TX",1120.7
"Atchison, KS",1067.1
"Atchison, MO",976.4
"Athens, OH",1036.4
"Atkinson, GA",1362.4
"Atlantic, NJ",1288.1
"Atoka, OK",1426.6
"Attala, MS",1278.1
"Audrain, MO",1115.9
"Audubon, IA",900.7
"Auglaize, OH",1276.1
"Aurora, SD",970.9
"Austin, TX",1073.1
"Autauga, AL",1292.6
"Avery, NC",1148.1
"Avoyelles, LA",1580.2
"Baca, CO",864.4
"Bacon, GA",1383.1
"Bailey, TX",1191.5
"Baker, FL",1101.1
"Baker, GA",1016.3
"Baker, OR",1114.4
"Baldwin, AL",1182.2
"Baldwin, GA",1606.1
"Ballard, KY",1250.7
"Baltimore, MD",
"Baltimore, MD",
"Bamberg, SC",978.2
"Bandera, TX",938.3
"Banks, GA",1034.2
"Banner, NE",965.2
"Bannock, ID",1195.8
"Baraga, MI",1142.0
"Barber, KS",1342.6
"Barbour, AL",1508.6
"Barbour, WV",1108.5
"Barnes, ND",842.4
"Barnstable, MA",888.7
"Barnwell, SC",1112.5
"Barren, KY",1304.3
"Barron, WI",1094.5
"Barrow, GA",996.4
"Barry, MI",1110.4
"Barry, MO",1227.5
"Bartholomew, IN",986.4
"Barton, KS",1007.3
"Barton, MO",1236.3
"Bartow, GA",1319.3
"Bastrop, TX",1067.0
"Bates, MO",1245.3
"Bath, KY",1399.4
"Bath, VA",1015.1
"Baxter, AR",1068.9
"Bay, FL",1112.3
"Bay, MI",1545.2
"Bayfield, WI",864.5
"Baylor, TX",1164.8
"Beadle, SD",911.7
"Bear Lake, ID",1004.4
"Beaufort, NC",1027.3
"Beaufort, SC",594.9
"Beauregard, LA",1638.2
"Beaver, OK",1572.8
"Beaver, PA",1215.0
"Beaver, UT",1337.4
"Beaverhead, MT",1058.5
"Becker, MN",843.2
"Beckham, OK",1380.3
"Bedford, PA",1173.7
"Bedford, TN",1514.0
"Bee, TX",1388.7
"Belknap, NH",1043.8
"Bell, KY",1598.6
"Bell, TX",1011.7
"Belmont, OH",1385.8
"Beltrami, MN",718.7
"Ben Hill, GA",1503.0
"Benewah, ID",1082.7
"Bennett, SD",1272.2
"Bennington, VT",1072.0
"Benson, ND",1074.5
"Bent, CO",1212.3
"Benton, AR",1168.8
"Benton, IA",1055.1
"Benton, IN",1125.1
"Benton, MN",855.4
"Benton, MO",974.3
"Benton, MS",1166.8
"Benton, OR",775.9
"Benton, TN",1514.4
"Benton, WA",880.5
"Benzie, MI",962.0
"Bergen, NJ",920.0
"Berkeley, SC",863.9
"Berkeley, WV",1096.1
"Berks, PA",1122.1
"Berkshire, MA",950.1
"Bernalillo, NM",1003.3
"Berrien, GA",1276.6
"Berrien, MI",1422.7
"Bertie, NC",902.7
"Bexar, TX",1077.8
"Bibb, AL",1362.3
"Bibb, GA",1432.2
"Bienville, LA",1073.0
"Big Horn, MT",1061.0
"Big Horn, WY",1086.0
"Big Stone, MN",1106.9
"Billings, ND",868.3
"Bingham, ID",1184.8
"Black Hawk, IA",1040.0
"Blackford, IN",1122.4
"Bladen, NC",1184.3
"Blaine, ID",555.1
"Blaine, MT",1238.0
"Blaine, NE",1110.6
"Blaine, OK",1356.2
"Blair, PA",1359.3
"Blanco, TX",950.6
"Bland, VA",1239.2
"Bleckley, GA",1271.7
"Bledsoe, TN",1004.2
"Blount, AL",1327.2
"Blount, TN",911.3
"Blue Earth, MN",853.7
"Boise, ID",752.8
"Bolivar, MS",1417.6
"Bollinger, MO",1332.9
"Bon Homme, SD",1019.9
"Bond, IL",1216.4
"Bonner, ID",890.7
"Bonneville, ID",1178.9
"Boone, AR",1658.2
"Boone, IA",1177.7
"Boone, IL",1063.2
"Boone, IN",1262.5
"Boone, KY",971.7
"Boone, MO",904.5
"Boone, NE",1108.8
"Boone, WV",1302.0
"Borden, TX",894.8
"Bosque, TX",1200.7
"Bossier, LA",1206.6
"Botetourt, VA",1054.7
"Bottineau, ND",1198.2
"Boundary, ID",869.2
"Bourbon, KS",1149.4
"Bourbon, KY",1235.2
"Bowie, TX",1485.8
"Bowman, ND",1092.3
"Box Butte, NE",1147.6
"Box Elder, UT",1243.5
"Boyd, KY",1383.8
"Boyd, NE",1306.1
"Boyle, KY",992.6
"Bracken, KY",1130.6
"Bradford, FL",1066.7
"Bradford, PA",1209.6
"Bradley, AR",1723.2
"Bradley, TN",1351.1
"Branch, MI",1221.5
"Brantley, GA",1124.6
"Braxton, WV",1063.4
"Brazoria, TX",1090.4
"Brazos, TX",1037.3
"Breathitt, KY",2033.1
"Breckinridge, KY",1009.3
"Bremer, IA",1041.2
"Brevard, FL",1008.2
"Brewster, TX",802.0
"Briscoe, TX",1120.0
"Bristol, MA",916.4
"Bristol, RI",1003.0
"Broadwater, MT",1006.8
"Bronx, NY",1175.0
"Brooke, WV",1393.2
"Brookings, SD",1032.5
"Brooks, GA",1102.4
"Brooks, TX",1080.2
"Broome, NY",1077.7
"Broward, FL",897.2
"Brown, IL",1111.6
"Brown, IN",1031.4
"Brown, KS",1335.2
"Brown, MN",757.4
"Brown, NE",1084.8
"Brown, OH",1251.4
"Brown, SD",920.3
"Brown, TX",1336.6
"Brown, WI",1161.0
"Brule, SD",1062.2
"Brunswick, NC",897.4
"Brunswick, VA",1102.8
"Bryan, GA",1169.6
"Bryan, OK",1157.1
"Buchanan, IA",1148.5
"Buchanan, MO",1271.4
"Buchanan, VA",1309.2
"Buckingham, VA",907.6
"Bucks, PA",961.6
"Buena Vista, IA",1102.5
"Buffalo, NE",1016.4
"Buffalo, SD",1109.8
"Buffalo, WI",1038.2
"Bullitt, KY",918.8
"Bulloch, GA",1055.7
"Bullock, AL",1223.2
"Buncombe, NC",928.4
"Bureau, IL",1196.0
"Burke, GA",1172.7
"Burke, NC",982.2
"Burke, ND",700.7
"Burleigh, ND",786.8
"Burleson, TX",1714.5
"Burlington, NJ",1123.3
"Burnet, TX",918.5
"Burnett, WI",907.6
"Burt, NE",991.5
"Butler, AL",1138.2
"Butler, IA",1215.1
"Butler, KS",1174.0
"Butler, KY",1014.7
"Butler, MO",1180.7
"Butler, NE",964.5
"Butler, OH",1053.5
"Butler, PA",1180.8
"Butte, CA",1002.9
"Butte, ID",1200.1
"Butte, SD",1010.9
"Butts, GA",1110.0
"Cabarrus, NC",999.7
"Cabell, WV",1026.0
"Cache, UT",973.5
"Caddo, LA",964.0
"Caddo, OK",1505.1
"Calaveras, CA",927.8
"Calcasieu, LA",1915.5
"Caldwell, KY",1527.8
"Caldwell, LA",2100.1
"Caldwell, MO",1085.8
"Caldwell, NC",1135.4
"Caldwell, TX",1027.9
"Caledonia, VT",1018.9
"Calhoun, AL",1743.1
"Calhoun, AR",1453.2
"Calhoun, FL",1111.9
"Calhoun, GA",1055.2
"Calhoun, IA",1131.9
"Calhoun, IL",1070.3
"Calhoun, MI",1249.0
"Calhoun, MS",1235.4
"Calhoun, SC",973.6
"Calhoun, TX",950.0
"Calhoun, WV",1106.4
"Callahan, TX",1298.2
"Callaway, MO",1065.2
"Calloway, KY",1257.2
"Calumet, WI",1051.1
"Calvert, MD",1119.8
"Camas, ID",678.4
"Cambria, PA",1189.1
"Camden, GA",1095.8
"Camden, MO",904.4
"Camden, NC",1157.7
"Camden, NJ",1180.2
"Cameron, LA",1600.3
"Cameron, PA",1186.5
"Cameron, TX",866.4
"Camp, TX",1246.4
"Campbell, KY",1038.4
"Campbell, SD",792.6
"Campbell, TN",1466.4
"Campbell, VA",1034.0
"Campbell, WY",1141.3
"Canadian, OK",1148.4
"Candler, GA",1327.8
"Cannon, TN",1174.6
"Canyon, ID",1127.0
"Cape Girardeau, MO",1163.6
"Cape May, NJ",1271.3
"Carbon, MT",825.8
"Carbon, PA",1168.2
"Carbon, UT",1222.7
"Carbon, WY",958.1
"Caribou, ID",1181.4
"Carlisle, KY",1132.2
"Carlton, MN",953.1
"Caroline, MD",1162.7
"Caroline, VA",1032.7
"Carroll, AR",1358.7
"Carroll, GA",1290.7
"Carroll, IA",1005.6
"Carroll, IL",1122.4
"Carroll, IN",985.4
"Carroll, KY",1378.8
"Carroll, MD",1109.7
"Carroll, MO",1248.6
"Carroll, MS",1295.0
"Carroll, NH",879.4
"Carroll, OH",1233.8
"Carroll, TN",1746.0
"Carroll, VA",799.3
"Carson, TX",1125.0
"Carter, KY",1303.2
"Carter, MO",1163.9
"Carter, MT",1115.0
"Carter, OK",1385.0
"Carter, TN",1226.0
"Carteret, NC",1067.3
"Carver, MN",677.6
"Cascade, MT",951.7
"Casey, KY",906.6
"Cass, IA",1241.3
"Cass, IL",1193.2
"Cass, IN",1009.7
"Cass, MI",1239.5
"Cass, MN",709.5
"Cass, MO",1081.0
"Cass, ND",785.9
"Cass, NE",934.3
"Cass, TX",1212.1
"Cassia, ID",1115.4
"Castro, TX",1198.3
"Caswell, NC",1033.3
"Catahoula, LA",1686.2
"Catawba, NC",961.0
"Catoosa, GA",1168.4
"Catron, NM",1013.2
"Cattaraugus, NY",1365.7
"Cavalier, ND",853.9
"Cayuga, NY",1116.6
"Cecil, MD",1260.5
"Cedar, IA",935.0
"Cedar, MO",1260.0
"Cedar, NE",1053.7
"Centre, PA",1041.2
"Cerro Gordo, IA",1228.1
"Chaffee, CO",622.3
"Chambers, AL",1111.6
"Chambers, TX",1283.7
"Champaign, IL",860.7
"Champaign, OH",1187.2
"Chariton, MO",1144.6
"Charles City, VA",1006.2
"Charles Mix, SD",986.0
"Charles, MD",1022.3
"Charleston, SC",834.8
"Charlevoix, MI",1058.8
"Charlotte, FL",675.5
"Charlotte, VA",1124.3
"Charlton, GA",943.3
"Chase, KS",1209.1
"Chase, NE",1035.0
"Chatham, GA",1029.8
"Chatham, NC",706.3
"Chattahoochee, GA",1132.1
"Chattooga, GA",1536.2
"Chautauqua, KS",1275.6
"Chautauqua, NY",1222.8
"Chaves, NM",1602.5
"Cheatham, TN",1340.6
"Cheboygan, MI",1177.8
"Chelan, WA",841.8
"Chemung, NY",1288.2
"Chenango, NY",1638.7
"Cherokee, AL",1217.7
"Cherokee, GA",978.9
"Cherokee, IA",1110.8
"Cherokee, KS",1537.4
"Cherokee, NC",1074.9
"Cherokee, OK",1487.9
"Cherokee, SC",1176.6
"Cherokee, TX",1358.1
"Cherry, NE",956.2
"Cheshire, NH",964.3
"Chester, PA",1028.1
"Chester, SC",1213.4
"Chester, TN",1315.9
"Chesterfield, SC",1321.2
"Chesterfield, VA",973.1
"Cheyenne, CO",785.2
"Cheyenne, KS",1046.4
"Cheyenne, NE",942.2
"Chickasaw, IA",1254.0
"Chickasaw, MS",1267.3
"Chicot, AR",1366.9
"Childress, TX",1263.7
"Chilton, AL",1528.6
"Chippewa, MI",1130.1
"Chippewa, MN",910.9
"Chippewa, WI",1099.1
"Chisago, MN",970.0
"Chittenden, VT",798.2
"Choctaw, AL",1525.6
"Choctaw, MS",1115.4
"Choctaw, OK",1489.3
"Chouteau, MT",956.0
"Chowan, NC",1008.1
"Christian, IL",1162.9
"Christian, KY",1233.4
"Christian, MO",1037.7
"Churchill, NV",1384.2
"Cibola, NM",977.5
"Cimarron, OK",1112.5
"Citrus, FL",1201.9
"Clackamas, OR",807.3
"Claiborne, LA",1183.4
"Claiborne, MS",1728.7
"Claiborne, TN",1460.6
"Clallam, WA",837.7
"Clare, MI",1387.4
"Clarendon, SC",1021.4
"Clarion, PA",1170.3
"Clark, AR",1327.6
"Clark, ID",1060.6
"Clark, IL",1319.8
"Clark, IN",1127.8
"Clark, KS",1185.0
"Clark, KY",1291.1
"Clark, MO",1233.3
"Clark, NV",1236.0
"Clark, OH",1208.7
"Clark, SD",858.2
"Clark, WA",966.8
"Clark, WI",1069.6
"Clarke, AL",1255.4
"Clarke, GA",1077.8
"Clarke, IA",1241.0
"Clarke, MS",1573.7
"Clarke, VA",1053.7
"Clatsop, OR",910.8
"Clay, AL",1554.7
"Clay, AR",1291.9
"Clay, FL",920.4
"Clay, GA",1308.1
"Clay, IA",1040.4
"Clay, IL",1268.6
"Clay, IN",1475.5
"Clay, KS",1023.0
"Clay, KY",1508.3
"Clay, MN",880.3
"Clay, MO",975.4
"Clay, MS",1188.0
"Clay, NC",1029.8
"Clay, NE",1068.0
"Clay, SD",1080.4
"Clay, TN",1521.2
"Clay, TX",1085.5
"Clay, WV",1113.0
"Clayton, GA",1109.9
"Clayton, IA",961.1
"Clear Creek, CO",725.9
"Clearfield, PA",1167.4
"Clearwater, ID",891.8
"Clearwater, MN",935.8
"Cleburne, AL",1565.2
"Cleburne, AR",958.1
"Clermont, OH",1037.5
"Cleveland, AR",1314.8
"Cleveland, NC",1126.3
"Cleveland, OK",1130.3
"Clinch, GA",1583.2
"Clinton, IA",1171.4
"Clinton, IL",1268.9
"Clinton, IN",1086.5
"Clinton, KY",1263.6
"Clinton, MI",1015.5
"Clinton, MO",1197.7
"Clinton, NY",945.5
"Clinton, OH",1185.2
"Clinton, PA",1364.1
"Cloud, KS",1291.5
"Coahoma, MS",1179.3
"Coal, OK",1829.8
"Cobb, GA",918.5
"Cochise, AZ",1006.0
"Cochran, TX",1267.9
"Cocke, TN",1719.2
"Coconino, AZ",783.3
"Codington, SD",895.8
"Coffee, AL",1525.1
"Coffee, GA",1219.1
"Coffee, TN",1561.1
"Coffey, KS",1210.1
"Coke, TX",1114.2
"Colbert, AL",1502.0
"Cole, MO",955.9
"Coleman, TX",1292.6
"Coles, IL",1100.8
"Colfax, NE",912.4
"Colfax, NM",793.3
"Colleton, SC",1300.4
"Collier, FL",542.8
"Collin, TX",820.0
"Collingsworth, TX",1426.7
"Colorado, TX",1177.9
"Colquitt, GA",944.8
"Columbia, AR",1269.7
"Columbia, FL",950.0
"Columbia, GA",779.8
"Columbia, NY",1138.4
"Columbia, OR",959.6
"Columbia, PA",1237.7
"Columbia, WA",893.7
"Columbia, WI",1067.3
"Columbiana, OH",1281.7
"Columbus, NC",1498.5
"Colusa, CA",961.8
"Comal, TX",1074.2
"Comanche, KS",1178.8
"Comanche, OK",1222.5
"Comanche, TX",1333.7
"Concho, TX",1128.2
"Concordia, LA",1570.3
"Conecuh, AL",1234.2
"Conejos, CO",983.5
"Contra Costa, CA",709.3
"Converse, WY",957.0
"Conway, AR",1255.6
"Cook, GA",1288.7
"Cook, IL",1022.8
"Cook, MN",542.5
"Cooke, TX",991.7
"Cooper, MO",1247.6
"Coos, NH",
"Coos, OR",1193.3
"Coosa, AL",1314.1
"Copiah, MS",1386.7
"Corson, SD",1269.3
"Cortland, NY",971.1
"Coryell, TX",1064.0
"Coshocton, OH",1204.5
"Costilla, CO",825.2
"Cottle, TX",1127.1
"Cotton, OK",1139.1
"Cottonwood, MN",908.3
"Covington, AL",1576.6
"Covington, MS",1544.2
"Coweta, GA",1158.7
"Cowley, KS",1151.7
"Cowlitz, WA",1080.4
"Craig, OK",1767.4
"Craig, VA",903.6
"Craighead, AR",1322.1
"Crane, TX",1137.0
"Craven, NC",1020.9
"Crawford, AR",1259.6
"Crawford, GA",1361.2
"Crawford, IA",980.9
"Crawford, IL",1190.2
"Crawford, IN",1104.1
"Crawford, KS",1237.8
"Crawford, MI",1210.4
"Crawford, MO",1829.1
"Crawford, OH",1268.9
"Crawford, PA",1166.2
"Crawford, WI",989.9
"Creek, OK",1485.7
"Crenshaw, AL",1551.6
"Crisp, GA",1154.2
"Crittenden, AR",1220.2
"Crittenden, KY",1786.6
"Crockett, TN",1910.2
"Crockett, TX",1828.1
"Crook, OR",968.8
"Crook, WY",1041.1
"Crosby, TX",1284.2
"Cross, AR",1332.4
"Crow Wing, MN",739.2
"Crowley, CO",867.0
"Culberson, TX",969.5
"Cullman, AL",1710.6
"Culpeper, VA",912.1
"Cumberland, IL",1107.6
"Cumberland, KY",1530.4
"Cumberland, ME",868.0
"Cumberland, NC",1064.4
"Cumberland, NJ",1316.1
"Cumberland, PA",1177.6
"Cumberland, TN",915.5
"Cumberland, VA",959.0
"Cuming, NE",1027.2
"Currituck, NC",1197.1
"Curry, NM",1255.3
"Curry, OR",1150.9
"Custer, CO",758.6
"Custer, ID",757.9
"Custer, MT",1168.3
"Custer, NE",1068.4
"Custer, OK",1449.2
"Custer, SD",926.7
"Cuyahoga, OH",1238.4
"Dade, GA",1390.9
"Dade, MO",1226.9
"Daggett, UT",906.2
"Dakota, MN",662.2
"Dakota, NE",905.2
"Dale, AL",1200.4
"Dallam, TX",974.9
"Dallas, AL",1656.2
"Dallas, AR",1320.5
"Dallas, IA",867.3
"Dallas, MO",1106.1
"Dallas, TX",995.9
"Dane, WI",823.5
"Daniels, MT",1170.8
"Dare, NC",958.9
"Darke, OH",1360.4
"Darlington, SC",1353.1
"Dauphin, PA",1086.1
"Davidson, NC",1032.9
"Davidson, TN",1101.2
"Davie, NC",939.2
"Daviess, IN",1145.6
"Daviess, KY",1175.4
"Daviess, MO",1256.3
"Davis, IA",1166.2
"Davis, UT",1096.6
"Davison, SD",930.0
"Dawes, NE",1013.0
"Dawson, GA",975.0
"Dawson, MT",617.1
"Dawson, NE",1088.2
"Dawson, TX",1209.5
"Day, SD",912.2
"De Baca, NM",1128.6
"De Soto, LA",1079.2
"De Witt, IL",1106.8
"DeKalb, AL",1466.4
"DeKalb, GA",769.5
"DeKalb, IL",1012.8
"DeKalb, IN",1109.3
"DeKalb, MO",1228.4
"DeKalb, TN",1205.8
"DeSoto, FL",633.9
"DeSoto, MS",1242.5
"DeWitt, TX",1182.2
"Deaf Smith, TX",1206.9
"Dearborn, IN",1072.5
"Decatur, GA",1534.8
"Decatur, IA",1245.8
"Decatur, IN",1251.2
"Decatur, KS",1059.3
"Decatur, TN",1428.2
"Deer Lodge, MT",1243.6
"Defiance, OH",1098.8
"Del Norte, CA",961.4
"Delaware, IA",1028.6
"Delaware, IN",1138.5
"Delaware, NY",1220.9
"Delaware, OH",998.8
"Delaware, OK",1318.1
"Delaware, PA",1082.6
"Delta, CO",1061.6
"Delta, MI",1077.8
"Delta, TX",1433.5
"Dent, MO",973.0
"Denton, TX",832.6
"Denver, CO",848.2
"Des Moines, IA",1097.8
"Deschutes, OR",892.2
"Desha, AR",1891.7
"Deuel, NE",717.5
"Deuel, SD",958.9
"Dewey, OK",1422.3
"Dewey, SD",1092.6
"Dickens, TX",1201.8
"Dickenson, VA",1302.5
"Dickey, ND",1026.2
"Dickinson, IA",1039.3
"Dickinson, KS",1043.4
"Dickinson, MI",1046.0
"Dickson, TN",1627.4
"Dillon, SC",1184.9
"Dimmit, TX",949.8
