county_state,obs_total_2006
"Brookings, SD",78.85
"Brown, SD",77.29
"Brule, SD",72.66
"Buffalo, SD",61.59
"Butte, SD",76.62
"Campbell, SD",77.61
"Charles Mix, SD",73.2
"Clark, SD",75.06
"Clay, SD",80.21
"Codington, SD",74.7
"Corson, SD",72.19
"Custer, SD",78.84
"Davison, SD",75.13
"Day, SD",76.73
"Deuel, SD",76.73
"Dewey, SD",72.92
"Douglas, SD",68.96
"Edmunds, SD",75.75
"Fall River, SD",79.42
"Faulk, SD",73.76
"Grant, SD",75.01
"Gregory, SD",73.04
"Haakon, SD",77.76
"Hamlin, SD",75.34
"Hand, SD",76.43
"Hanson, SD",76.03
"Harding, SD",77.8
"Hughes, SD",82.29
"Hutchinson, SD",73.99
"Hyde, SD",75.44
"Jackson, SD",76.18
"Jerauld, SD",72.45
"Jones, SD",77.76
"Kingsbury, SD",74.98
"Lake, SD",77.38
"Lawrence, SD",79.17
"Lincoln, SD",78.89
"Lyman, SD",71.57
"McCook, SD",77.49
"McPherson, SD",69.5
"Marshall, SD",72.64
"Meade, SD",79.67
"Mellette, SD",73.66
"Miner, SD",76.05
"Minnehaha, SD",78.25
"Moody, SD",78.07
"Pennington, SD",79.3
"Perkins, SD",76.31
"Potter, SD",79.1
"Roberts, SD",72.44
"Sanborn, SD",74.68
"Shannon, SD",72.28
"Spink, SD",75.63
"Stanley, SD",79.74
"Sully, SD",81.19
"Todd, SD",71.77
"Tripp, SD",76.1
"Turner, SD",77.36
"Union, SD",79.89
"Walworth, SD",76.78
"Yankton, SD",77.7
"Ziebach, SD",66.41
"Anderson, TN",69.56
"Bedford, TN",61.25
"Benton, TN",68.26
"Bledsoe, TN",60.8
"Blount, TN",71.25
"Bradley, TN",68.41
"Campbell, TN",58.05
"Cannon, TN",67.51
"Carroll, TN",65.28
"Carter, TN",65.43
"Cheatham, TN",70.04
"Chester, TN",61.57
"Claiborne, TN",61.57
"Clay, TN",61.8
"Cocke, TN",65.29
"Coffee, TN",68.79
"Crockett, TN",61.65
"Cumberland, TN",68.02
"Davidson, TN",70.03
"Decatur, TN",65.02
"DeKalb, TN",62.23
"Dickson, TN",69.69
"Dyer, TN",64.9
"Fayette, TN",66.59
"Fentress, TN",61.07
"Franklin, TN",65.81
"Gibson, TN",61.51
"Giles, TN",64.66
"Grainger, TN",58.28
"Greene, TN",62.36
"Grundy, TN",53.42
"Hamblen, TN",64.65
"Hamilton, TN",69.64
"Hancock, TN",56.42
"Hardeman, TN",56.23
"Hardin, TN",64.22
"Hawkins, TN",64.06
"Haywood, TN",57.55
"Henderson, TN",64.86
"Henry, TN",66.77
"Hickman, TN",65.55
"Houston, TN",66.22
"Humphreys, TN",68.58
"Jackson, TN",63.1
"Jefferson, TN",64.41
"Johnson, TN",63.64
"Knox, TN",70.36
"Lake, TN",54.14
"Lauderdale, TN",58.48
"Lawrence, TN",61.9
"Lewis, TN",67.09
"Lincoln, TN",61.76
"Loudon, TN",71.59
"McMinn, TN",68.18
"McNairy, TN",62.32
"Macon, TN",62.19
"Madison, TN",64.55
"Marion, TN",61.59
"Marshall, TN",64.43
"Maury, TN",70.98
"Meigs, TN",62.71
"Monroe, TN",65.95
"Montgomery, TN",71.93
"Moore, TN",67.76
"Morgan, TN",64.19
"Obion, TN",64.67
"Overton, TN",62.94
"Perry, TN",65.91
"Pickett, TN",63.69
"Polk, TN",64.86
"Putnam, TN",68.0
"Rhea, TN",63.8
"Roane, TN",69.32
"Robertson, TN",66.51
"Rutherford, TN",71.98
"Scott, TN",60.73
"Sequatchie, TN",65.75
"Sevier, TN",69.07
"Shelby, TN",68.37
"Smith, TN",65.94
"Stewart, TN",66.2
"Sullivan, TN",67.36
"Sumner, TN",68.67
"Tipton, TN",65.63
"Trousdale, TN",61.63
"Unicoi, TN",68.04
"Union, TN",59.22
"Van Buren, TN",60.59
"Warren, TN",61.22
"Washington, TN",65.91
"Wayne, TN",64.72
"Weakley, TN",67.21
"White, TN",61.11
"Williamson, TN",80.63
"Wilson, TN",71.49
"Anderson, TX",64.01
"Andrews, TX",65.51
"Angelina, TX",66.72
"Aransas, TX",69.81
"Archer, TX",73.81
"Armstrong, TX",76.67
"Atascosa, TX",65.27
"Austin, TX",71.04
"Bailey, TX",64.46
"Bandera, TX",74.73
"Bastrop, TX",73.2
"Baylor, TX",69.53
"Bee, TX",66.89
"Bell, TX",70.7
"Bexar, TX",69.1
"Blanco, TX",76.28
"Borden, TX",74.64
"Bosque, TX",70.66
"Bowie, TX",67.93
"Brazoria, TX",71.83
"Brazos, TX",71.97
"Brewster, TX",74.46
"Briscoe, TX",70.49
"Brooks, TX",58.44
"Brown, TX",70.53
"Burleson, TX",68.18
"Burnet, TX",71.86
"Caldwell, TX",68.37
"Calhoun, TX",68.07
"Callahan, TX",73.53
"Cameron, TX",61.21
"Camp, TX",65.68
"Carson, TX",73.09
"Cass, TX",70.23
"Castro, TX",64.27
"Chambers, TX",68.03
"Cherokee, TX",65.32
"Childress, TX",67.82
"Clay, TX",75.21
"Cochran, TX",61.25
"Coke, TX",71.43
"Coleman, TX",67.03
"Collin, TX",78.42
"Collingsworth, TX",63.67
"Colorado, TX",68.49
"Comal, TX",73.07
"Comanche, TX",66.26
"Concho, TX",67.23
"Cooke, TX",71.5
"Coryell, TX",71.14
"Cottle, TX",66.51
"Crane, TX",69.81
"Crockett, TX",59.25
"Crosby, TX",64.52
"Culberson, TX",61.09
"Dallam, TX",66.99
"Dallas, TX",67.61
"Dawson, TX",61.02
"Deaf Smith, TX",63.19
"Delta, TX",70.74
"Denton, TX",75.88
"DeWitt, TX",67.96
"Dickens, TX",66.0
"Dimmit, TX",59.08
"Donley, TX",72.33
"Duval, TX",61.96
"Eastland, TX",66.05
"Ector, TX",64.28
"Edwards, TX",68.74
"Ellis, TX",71.18
"El Paso, TX",67.28
"Erath, TX",70.79
"Falls, TX",61.88
"Fannin, TX",69.0
"Fayette, TX",70.64
"Fisher, TX",70.57
"Floyd, TX",64.39
"Foard, TX",69.3
"Fort Bend, TX",76.17
"Franklin, TX",71.01
"Freestone, TX",68.1
"Frio, TX",61.03
"Gaines, TX",55.62
"Galveston, TX",70.6
"Garza, TX",56.95
"Gillespie, TX",78.03
"Glasscock, TX",67.49
"Goliad, TX",73.0
"Gonzales, TX",63.82
"Gray, TX",70.05
"Grayson, TX",68.57
"Gregg, TX",68.25
"Grimes, TX",67.42
"Guadalupe, TX",73.22
"Hale, TX",66.35
"Hall, TX",62.55
"Hamilton, TX",72.42
"Hansford, TX",68.93
"Hardeman, TX",70.1
"Hardin, TX",68.58
"Harris, TX",70.76
"Harrison, TX",70.33
"Hartley, TX",69.81
"Haskell, TX",65.35
"Hays, TX",74.37
"Hemphill, TX",73.95
"Henderson, TX",68.83
"Hidalgo, TX",60.06
"Hill, TX",68.13
"Hockley, TX",66.55
"Hood, TX",74.57
"Hopkins, TX",69.7
"Houston, TX",64.8
"Howard, TX",66.32
"Hudspeth, TX",58.69
"Hunt, TX",70.52
"Hutchinson, TX",70.34
"Irion, TX",73.3
"Jack, TX",71.33
"Jackson, TX",66.69
"Jasper, TX",64.83
"Jeff Davis, TX",74.28
"Jefferson, TX",64.07
"Jim Hogg, TX",60.1
"Jim Wells, TX",65.74
"Johnson, TX",72.48
"Jones, TX",62.29
"Karnes, TX",60.58
"Kaufman, TX",69.97
"Kendall, TX",76.93
"Kenedy, TX",66.24
"Kent, TX",75.25
"Kerr, TX",76.98
"Kimble, TX",72.46
"King, TX",75.92
"Kinney, TX",66.81
"Kleberg, TX",68.48
"Knox, TX",68.37
"Lamar, TX",66.84
"Lamb, TX",66.75
"Lampasas, TX",71.51
"La Salle, TX",57.55
"Lavaca, TX",68.29
"Lee, TX",72.22
"Leon, TX",69.04
"Liberty, TX",63.62
"Limestone, TX",63.64
"Lipscomb, TX",69.93
"Live Oak, TX",67.86
"Llano, TX",77.24
"Loving, TX",76.07
"Lubbock, TX",68.28
"Lynn, TX",64.31
"McCulloch, TX",66.66
"McLennan, TX",68.12
"McMullen, TX",69.27
"Madison, TX",68.67
"Marion, TX",64.59
"Martin, TX",65.82
"Mason, TX",74.06
"Matagorda, TX",66.79
"Maverick, TX",57.37
"Medina, TX",70.34
"Menard, TX",70.73
"Midland, TX",69.53
"Milam, TX",69.09
"Mills, TX",71.17
"Mitchell, TX",66.73
"Montague, TX",70.91
"Montgomery, TX",70.91
"Moore, TX",63.46
"Morris, TX",70.5
"Motley, TX",72.23
"Nacogdoches, TX",66.8
"Navarro, TX",66.03
"Newton, TX",62.67
"Nolan, TX",66.15
"Nueces, TX",67.51
"Ochiltree, TX",67.94
"Oldham, TX",70.1
"Orange, TX",68.97
"Palo Pinto, TX",68.7
"Panola, TX",69.0
"Parker, TX",73.62
"Parmer, TX",63.82
"Pecos, TX",65.4
"Polk, TX",63.38
"Potter, TX",64.28
"Presidio, TX",56.7
"Rains, TX",69.54
"Randall, TX",76.77
"Reagan, TX",63.17
"Real, TX",69.63
"Red River, TX",64.1
"Reeves, TX",57.52
"Refugio, TX",67.39
"Roberts, TX",78.69
"Robertson, TX",66.02
"Rockwall, TX",77.18
"Runnels, TX",67.07
"Rusk, TX",68.11
"Sabine, TX",66.95
"San Augustine, TX",60.53
"San Jacinto, TX",65.85
"San Patricio, TX",68.01
"San Saba, TX",69.46
"Schleicher, TX",68.77
"Scurry, TX",70.22
"Shackelford, TX",72.02
"Shelby, TX",63.69
"Sherman, TX",67.48
"Smith, TX",71.08
"Somervell, TX",75.09
"Starr, TX",49.88
"Stephens, TX",68.15
"Sterling, TX",68.76
"Stonewall, TX",73.94
"Sutton, TX",67.07
"Swisher, TX",68.85
"Tarrant, TX",72.16
"Taylor, TX",70.76
"Terrell, TX",70.3
"Terry, TX",60.35
"Throckmorton, TX",69.3
"Titus, TX",65.67
"Tom Green, TX",72.88
"Travis, TX",77.87
"Trinity, TX",68.44
"Tyler, TX",69.09
"Upshur, TX",70.54
"Upton, TX",65.83
"Uvalde, TX",64.9
"Val Verde, TX",62.62
"Van Zandt, TX",69.45
"Victoria, TX",71.68
"Walker, TX",69.87
"Waller, TX",68.08
"Ward, TX",64.12
"Washington, TX",71.53
"Webb, TX",59.44
"Wharton, TX",66.65
"Wheeler, TX",70.36
"Wichita, TX",69.77
"Wilbarger, TX",66.05
"Willacy, TX",55.32
"Williamson, TX",78.95
"Wilson, TX",71.5
"Winkler, TX",59.25
"Wise, TX",71.55
"Wood, TX",69.71
"Yoakum, TX",61.84
"Young, TX",68.95
"Zapata, TX",54.85
"Zavala, TX",56.99
"Beaver, UT",77.39
"Box Elder, UT",75.83
"Cache, UT",80.87
"Carbon, UT",70.57
"Daggett, UT",75.26
"Davis, UT",81.03
"Duchesne, UT",72.97
"Emery, UT",76.31
"Garfield, UT",78.52
"Grand, UT",77.94
"Iron, UT",77.97
"Juab, UT",77.03
"Kane, UT",79.16
"Millard, UT",75.95
"Morgan, UT",82.45
"Piute, UT",74.12
"Rich, UT",80.77
"Salt Lake, UT",78.27
"San Juan, UT",72.15
"Sanpete, UT",74.63
"Sevier, UT",76.24
"Summit, UT",83.7
"Tooele, UT",72.46
"Uintah, UT",72.56
"Utah, UT",79.55
"Wasatch, UT",81.34
"Washington, UT",78.04
"Wayne, UT",78.86
"Weber, UT",76.67
"Addison, VT",81.69
"Bennington, VT",80.81
"Caledonia, VT",79.54
"Chittenden, VT",83.77
"Essex, VT",73.84
"Franklin, VT",76.65
"Grand Isle, VT",81.91
"Lamoille, VT",80.28
"Orange, VT",80.1
"Orleans, VT",77.89
"Rutland, VT",78.68
"Washington, VT",81.72
"Windham, VT",82.86
"Windsor, VT",81.29
"Accomack, VA",66.29
"Albemarle, VA",81.92
Alleghany,70.86
"Amelia, VA",69.16
"Amherst, VA",70.87
"Appomattox, VA",69.65
"Arlington, VA",81.57
"Augusta, VA",75.77
"Bath, VA",73.05
"Bedford, VA",75.23
"Bland, VA",73.82
"Botetourt, VA",75.22
"Brunswick, VA",66.06
"Buchanan, VA",54.87
"Buckingham, VA",61.94
"Campbell, VA",73.75
"Caroline, VA",72.09
"Carroll, VA",66.56
"Charles City, VA",68.81
"Charlotte, VA",64.53
"Chesterfield, VA",77.33
"Clarke, VA",75.08
"Craig, VA",71.32
"Culpeper, VA",71.77
"Cumberland, VA",67.51
"Dickenson, VA",60.69
"Dinwiddie, VA",67.99
"Essex, VA",70.51
"Fairfax, VA",82.73
"Fauquier, VA",77.53
"Floyd, VA",71.79
"Fluvanna, VA",78.53
"Franklin, VA",74.55
"Frederick, VA",75.64
"Giles, VA",73.66
"Gloucester, VA",74.97
"Goochland, VA",72.62
"Grayson, VA",67.6
"Greene, VA",76.47
"Greensville, VA",61.75
"Halifax County with South Boston City, VA",65.56
"Hanover, VA",79.22
"Henrico, VA",76.18
"Henry, VA",66.45
"Highland, VA",74.2
"Isle of Wight, VA",72.58
"James City, VA",79.72
"King and Queen, VA",68.67
"King George, VA",76.58
"King William, VA",76.36
"Lancaster, VA",69.46
"Lee, VA",63.28
"Loudoun, VA",83.43
"Louisa, VA",74.17
"Lunenburg, VA",66.58
"Madison, VA",74.13
"Mathews, VA",75.28
"Mecklenburg, VA",67.9
"Middlesex, VA",72.93
"Montgomery, VA",76.53
"Nelson, VA",71.23
"New Kent, VA",76.69
"Northampton, VA",66.72
"Northumberland, VA",69.62
"Nottoway, VA",67.86
"Orange, VA",75.17
"Page, VA",67.99
"Patrick, VA",68.84
"Pittsylvania, VA",69.92
"Powhatan, VA",72.63
"Prince Edward, VA",70.51
"Prince George, VA",72.71
"Prince William, VA",77.72
"Pulaski, VA",71.33
"Rappahannock, VA",73.97
"Richmond, VA",64.09
"Roanoke, VA",78.41
"Rockbridge, VA",72.68
"Rockingham, VA",74.04
"Russell, VA",66.04
"Scott, VA",65.38
"Shenandoah, VA",72.73
"Smyth, VA",68.17
"Southampton, VA",66.72
"Spotsylvania, VA",77.32
"Stafford, VA",77.25
"Surry, VA",69.57
"Sussex, VA",59.53
"Tazewell, VA",66.84
"Warren, VA",71.97
"Washington, VA",70.25
"Westmoreland, VA",68.42
"Wise, VA",62.02
"Wythe, VA",70.25
"York, VA",80.47
"Alexandria City, VA",81.51
"Bedford City, VA",70.42
"Bristol City, VA",66.97
"Buena Vista City, VA",69.44
"Charlottesville City, VA",77.29
"Chesapeake City, VA",74.48
"Colonial Heights City, VA",75.47
"Covington City, VA",67.27
"Danville City, VA",67.06
"Emporia City, VA",63.26
"Fairfax City, VA",82.19
"Falls Church City, VA",81.94
"Franklin City, VA",64.72
"Fredericksburg City, VA",71.59
"Galax City, VA",61.3
"Hampton City, VA",70.81
"Harrisonburg City, VA",72.37
"Hopewell City, VA",66.38
"Lexington City, VA",75.22
"Lynchburg City, VA",72.36
"Manassas City, VA",72.47
"Manassas Park City, VA",71.58
"Martinsville City, VA",64.89
"Newport News City, VA",72.51
"Norfolk City, VA",72.57
"Norton City, VA",66.7
"Petersburg City, VA",62.33
"Poquoson City, VA",77.63
"Portsmouth City, VA",69.2
"Radford City, VA",75.1
"Richmond City, VA",72.09
"Roanoke City, VA",71.76
"Salem City, VA",77.56
"Staunton City, VA",72.93
"Suffolk City, VA",73.5
"Virginia Beach City, VA",79.26
"Waynesboro City, VA",72.49
"Williamsburg City, VA",78.58
"Winchester City, VA",72.87
"Adams, WA",69.14
"Asotin, WA",76.7
"Benton, WA",78.93
"Chelan, WA",78.03
"Clallam, WA",82.92
"Clark, WA",81.12
"Columbia, WA",79.09
"Cowlitz, WA",77.8
"Douglas, WA",76.65
"Ferry, WA",78.73
"Franklin, WA",73.28
"Garfield, WA",77.64
"Grant, WA",73.2
"Grays Harbor, WA",75.73
"Island, WA",86.4
"Jefferson, WA",87.26
"King, WA",84.01
"Kitsap, WA",82.62
"Kittitas, WA",83.23
"Klickitat, WA",79.1
"Lewis, WA",75.73
"Lincoln, WA",79.56
"Mason, WA",79.51
"Okanogan, WA",75.06
"Pacific, WA",77.39
"Pend Oreille, WA",78.09
"Pierce, WA",79.17
"San Juan, WA",88.57
"Skagit, WA",80.31
"Skamania, WA",81.38
"Snohomish, WA",81.39
"Spokane, WA",79.5
"Stevens, WA",76.38
"Thurston, WA",81.86
"Wahkiakum, WA",80.14
"Walla Walla, WA",80.62
"Whatcom, WA",84.36
"Whitman, WA",84.08
"Yakima, WA",71.3
"Barbour, WV",73.02
"Berkeley, WV",73.03
"Boone, WV",63.8
"Braxton, WV",69.24
"Brooke, WV",68.18
"Cabell, WV",70.15
"Calhoun, WV",64.95
"Clay, WV",67.31
"Doddridge, WV",68.11
"Fayette, WV",67.23
"Gilmer, WV",68.22
"Grant, WV",69.05
"Greenbrier, WV",73.13
"Hampshire, WV",72.06
"Hancock, WV",68.33
"Hardy, WV",71.68
"Harrison, WV",73.27
"Jackson, WV",70.13
"Jefferson, WV",75.28
"Kanawha, WV",69.25
"Lewis, WV",71.69
"Lincoln, WV",60.24
"Logan, WV",62.03
"McDowell, WV",51.93
"Marion, WV",72.09
"Marshall, WV",73.07
"Mason, WV",64.03
"Mercer, WV",70.02
"Mineral, WV",74.3
"Mingo, WV",58.43
"Monongalia, WV",76.64
"Monroe, WV",71.12
"Morgan, WV",73.85
"Nicholas, WV",70.29
"Ohio, WV",71.37
"Pendleton, WV",70.35
"Pleasants, WV",76.18
"Pocahontas, WV",72.52
"Preston, WV",72.34
"Putnam, WV",73.57
"Raleigh, WV",69.09
"Randolph, WV",71.13
"Ritchie, WV",73.17
"Roane, WV",68.51
"Summers, WV",68.33
"Taylor, WV",71.84
"Tucker, WV",73.1
"Tyler, WV",71.65
"Upshur, WV",71.88
"Wayne, WV",65.69
"Webster, WV",67.11
"Wetzel, WV",71.73
"Wirt, WV",71.69
"Wood, WV",73.2
"Wyoming, WV",60.87
"Adams, WI",73.91
"Ashland, WI",76.57
"Barron, WI",78.91
"Bayfield, WI",78.12
"Brown, WI",81.59
"Buffalo, WI",79.78
"Burnett, WI",80.14
"Calumet, WI",80.3
"Chippewa, WI",78.3
"Clark, WI",73.34
"Columbia, WI",74.55
"Crawford, WI",79.22
"Dane, WI",80.14
"Dodge, WI",75.35
"Door, WI",79.58
"Douglas, WI",78.66
"Dunn, WI",80.63
"Eau Claire, WI",81.49
"Florence, WI",74.37
"Fond du Lac, WI",79.27
"Forest, WI",73.74
"Grant, WI",77.46
"Green, WI",78.41
"Green Lake, WI",75.92
"Iowa, WI",80.33
"Iron, WI",77.77
"Jackson, WI",74.33
"Jefferson, WI",76.18
"Juneau, WI",73.59
"Kenosha, WI",77.25
"Kewaunee, WI",79.75
"La Crosse, WI",79.63
"Lafayette, WI",78.91
"Langlade, WI",75.05
"Lincoln, WI",77.41
"Manitowoc, WI",78.67
"Marathon, WI",80.6
"Marinette, WI",76.21
"Marquette, WI",74.42
"Menominee, WI",67.89
"Milwaukee, WI",72.25
"Monroe, WI",75.36
"Oconto, WI",76.81
"Oneida, WI",76.97
"Outagamie, WI",81.21
"Ozaukee, WI",84.44
"Pepin, WI",79.13
"Pierce, WI",82.34
"Polk, WI",80.24
"Portage, WI",80.18
"Price, WI",77.12
"Racine, WI",77.1
"Richland, WI",78.33
"Rock, WI",74.89
"Rusk, WI",75.91
"St. Croix, WI",81.84
"Sauk, WI",76.11
"Sawyer, WI",76.15
"Shawano, WI",76.74
"Sheboygan, WI",80.71
"Taylor, WI",75.9
"Trempealeau, WI",77.42
"Vernon, WI",76.69
"Vilas, WI",78.91
"Walworth, WI",79.46
"Washburn, WI",78.03
"Washington, WI",81.26
"Waukesha, WI",82.86
"Waupaca, WI",77.72
"Waushara, WI",77.68
"Winnebago, WI",77.03
"Wood, WI",77.7
"Albany, WY",80.44
"Big Horn, WY",75.19
"Campbell, WY",73.61
"Carbon, WY",71.54
"Converse, WY",77.52
"Crook, WY",78.46
"Fremont, WY",74.27
"Goshen, WY",75.2
"Hot Springs, WY",74.98
"Johnson, WY",80.41
"Laramie, WY",77.6
"Lincoln, WY",75.67
"Natrona, WY",76.75
"Niobrara, WY",78.31
"Park, WY",77.48
"Platte, WY",76.49
"Sheridan, WY",79.29
"Sublette, WY",79.02
"Sweetwater, WY",74.72
"Teton, WY",86.48
"Uinta, WY",76.61
"Washakie, WY",75.05
"Weston, WY",74.04
